D,L,P,G,X,DH,CHF,T
0.00384,1.549,7840,3982,0.339,31,1339,287.96
0.00607,0.792,7840,1604,0.312,384,2620,215.71
0.00607,0.792,7840,1604,0.357,300,2520,233.95
0.00607,0.792,7840,1604,0.385,199,2330,255.13
0.00607,0.792,7840,2199,0.181,488,3161,192.51
0.00607,0.792,7840,2199,0.21,393,2940,213.73
0.00607,0.792,7840,2199,0.318,47,2210,285
0.00607,0.792,7840,2208,0.154,568,3330,174.28
0.00607,0.792,7840,2208,0.255,262,2680,242.02
0.00607,0.792,7840,2208,0.291,165,2480,262.04
0.00607,0.792,7840,2698,0.079,630,3830,159.97
0.00607,0.792,7840,2698,0.125,479,3420,194.54
0.00607,0.792,7840,2688,0.159,351,3000,222.93
0.00607,0.792,7840,2688,0.196,257,2810,243.07
0.00607,0.792,7840,2698,0.232,145,2500,266.05
0.00607,0.792,7840,2698,0.28,31,2260,287.96
0.00607,0.792,7840,3207,0.065,529,3820,183.21
0.00607,0.792,7840,3207,0.096,425,3461,206.64
0.00607,0.792,7840,3207,0.124,323,3066,229
0.00607,0.792,7840,3207,0.157,228,2800,249.14
0.00607,0.792,7840,3216,0.208,99,2480,275.1
0.00607,0.792,7840,4003,0.029,461,3880,198.59
0.00607,0.792,7840,3994,0.075,309,3211,232.02
0.00607,0.792,7840,4013,0.144,134,2620,268.24
0.00607,0.792,7840,4013,0.189,36,2380,287.04
0.00607,0.792,7840,4982,-0.024,551,4890,178.18
0.00607,0.792,7840,4982,0.004,457,4440,199.49
0.00607,0.792,7840,5002,0.044,319,3700,229.87
0.00607,0.792,7840,4963,0.074,214,3050,252.04
0.00607,0.792,7840,5011,0.109,109,2580,273.15
0.00607,0.792,7840,5011,0.133,41,2260,286.11
0.0078,0.789,7840,995,0.288,780,2960,124.82
0.0078,0.789,7840,995,0.343,647,2820,156.02
0.0078,0.789,7840,995,0.387,515,2660,186.39
0.0078,0.789,7840,983,0.429,439,2580,203.52
0.0078,0.789,7840,995,0.463,319,2450,229.87
0.0078,0.776,7840,1599,0.144,652,3461,154.86
0.0078,0.776,7840,1605,0.206,502,3250,189.34
0.00807,0.778,7840,1613,0.249,370,3000,218.78
0.00807,0.778,7840,1608,0.273,271,2790,240.12
0.00807,0.778,7840,1581,0.331,119,2460,271.2
0.00807,0.778,7840,2205,0.018,784,4600,123.88
0.00807,0.778,7840,2211,0.044,686,4270,146.93
0.00807,0.778,7840,2216,0.087,493,3540,191.38
0.00807,0.778,7840,2200,0.141,347,3130,223.8
0.00807,0.778,7840,2705,0.007,634,4520,159.04
0.00807,0.778,7840,2662,0.059,479,3861,194.54
0.00807,0.778,7840,2678,0.109,300,3170,233.95
0.00807,0.778,7840,3199,-0.028,647,4990,156.02
0.00807,0.778,7840,3210,-0.004,502,4140,189.34
0.00807,0.778,7840,3199,0.049,375,3720,217.69
0.00807,0.778,7840,3205,0.106,209,3011,253.07
0.00802,1.57,7840,1001,0.577,617,1850,162.98
0.00802,1.57,7840,1007,0.601,502,1750,189.34
0.00802,1.57,7840,1001,0.622,351,1589,222.93
0.00802,1.57,7840,1001,0.636,165,1389,262.04
0.00802,1.57,7840,1023,0.633,52,1269,284.06
0.00802,1.57,7840,1595,0.334,695,2389,144.82
0.00802,1.57,7840,1606,0.347,612,2280,164.14
0.00802,1.57,7840,1606,0.398,439,2080,203.52
0.00802,1.57,7840,1595,0.432,300,1880,233.95
0.00802,1.57,7840,1612,0.434,150,1600,265.05
0.00802,1.57,7840,1606,0.46,47,1470,285
0.00802,1.57,7840,2206,0.247,524,2480,184.35
0.00802,1.57,7840,2206,0.267,434,2320,204.63
0.00802,1.57,7840,2206,0.306,305,2100,232.87
0.00802,1.57,7840,2206,0.334,199,1910,255.13
0.00802,1.57,7840,2195,0.355,109,1750,273.15
0.00802,1.57,7840,2706,0.136,612,2810,164.14
0.00802,1.57,7840,2717,0.178,479,2560,194.54
0.00802,1.57,7840,2706,0.215,342,2260,224.89
0.00802,1.57,7840,2706,0.251,243,2110,246.01
0.00802,1.57,7840,2728,0.28,145,1920,266.05
0.00802,1.595,7840,2706,0.132,634,2820,159.04
0.00802,1.595,7840,2689,0.157,546,2630,179.32
0.00802,1.595,7840,2706,0.185,452,2539,200.61
0.00802,1.595,7840,2706,0.214,314,2139,230.94
0.00802,1.595,7840,2695,0.276,174,1960,260.22
0.00802,1.595,7840,2695,0.32,20,1650,289.98
0.00384,0.799,9800,3982,0.112,489,3070,212.2
0.00384,0.799,9800,4054,0.118,439,2920,223.2
0.00384,0.799,9800,3910,0.141,387,2710,234.46
0.00384,0.799,9800,3958,0.159,335,2600,245.52
0.00384,0.799,9800,3982,0.16,296,2450,253.65
0.00384,0.799,9800,3886,0.198,226,2310,267.89
0.00384,0.799,9800,4006,0.208,175,2189,277.93
0.00384,0.799,9800,3910,0.238,106,2010,290.97
0.00384,0.799,9800,3982,0.261,51,1920,300.85
0.00384,0.799,9800,5013,0.033,620,4000,182.7
0.00384,0.799,9800,5013,0.055,553,3770,197.9
0.00384,0.799,9800,5013,0.066,503,3561,209.09
0.00384,0.799,9800,5013,0.081,457,3400,219.26
0.00384,0.799,9800,5013,0.088,406,3150,230.37
0.00384,0.799,9800,4990,0.107,363,3050,239.59
0.00384,0.799,9800,5013,0.117,315,2850,249.71
0.00384,0.799,9800,5013,0.129,271,2710,258.8
0.00384,0.799,9800,4990,0.16,206,2550,271.87
0.00384,0.799,9800,5013,0.196,149,2489,282.92
0.00384,0.799,9800,4990,0.216,106,2376,290.97
0.00384,0.799,9800,4990,0.246,51,2289,300.85
0.00384,0.799,9800,7460,-0.003,526,4681,203.96
0.00384,0.799,9800,7460,0.013,480,4450,214.19
0.00384,0.799,9800,7532,0.03,387,3890,234.46
0.00384,0.799,9800,7484,0.047,335,3590,245.52
0.00384,0.799,9800,7460,0.052,291,3250,254.69
0.00384,0.799,9800,7532,0.064,236,2960,265.89
0.00384,0.799,9800,7556,0.082,185,2720,275.98
0.00384,0.799,9800,7460,0.104,138,2520,285
0.00384,1.549,9800,3982,0.218,530,2020,203.07
0.00384,1.549,9800,3958,0.224,471,1889,216.18
0.00384,1.549,9800,3934,0.234,429,1810,225.38
0.00384,1.549,9800,4006,0.243,373,1730,237.46
0.00384,1.549,9800,3982,0.259,315,1630,249.71
0.00384,1.549,9800,3982,0.269,261,1530,260.84
0.00384,1.549,9800,3958,0.289,206,1450,271.87
0.00384,1.549,9800,3958,0.306,154,1380,281.97
0.00384,1.549,9800,4006,0.292,165,1389,279.86
0.00384,1.549,9800,3934,0.339,79,1300,295.88
0.0051,2.6,9800,1986,0.382,687,1139,167.3
0.0051,2.6,9800,1986,0.391,673,1139,170.53
0.0051,2.6,9800,2503,0.392,443,1174,222.33
0.0051,2.6,9800,2992,0.337,359,1163,240.44
0.0051,2.6,9800,3441,0.301,281,1163,256.75
0.0051,2.6,9800,3998,0.289,206,1174,271.87
0.0051,2.6,9800,4746,0.317,84,1186,294.98
0.0051,2.6,9800,5304,0.131,521,1779,205.08
0.0051,2.6,9800,5304,0.124,535,1791,201.95
0.00607,0.792,9800,1604,0.237,503,2489,209.09
0.00607,0.792,9800,1613,0.27,387,2310,234.46
0.00607,0.792,9800,1584,0.304,291,2110,254.69
0.00607,0.792,9800,1594,0.344,165,1900,279.86
0.00607,0.792,9800,1594,0.385,51,1710,300.85
0.00607,0.792,9800,2208,0.095,629,3170,180.64
0.00607,0.792,9800,2199,0.12,526,2870,203.96
0.00607,0.792,9800,2208,0.171,373,2539,237.46
0.00607,0.792,9800,2208,0.22,216,2170,269.88
0.00607,0.792,9800,2199,0.285,57,1820,299.79
0.00607,0.792,9800,2707,0.011,791,4130,143.07
0.00607,0.792,9800,2707,0.044,682,3811,168.46
0.00607,0.792,9800,2698,0.068,549,3280,198.8
0.00607,0.792,9800,2707,0.103,411,2820,229.29
0.00607,0.792,9800,2707,0.143,266,2360,259.82
0.00607,0.792,9800,2659,0.213,112,2010,289.86
0.00607,0.792,9800,2707,0.226,45,1800,301.89
0.00607,0.792,9800,3197,0.007,665,4090,172.38
0.00607,0.792,9800,3207,0.035,544,3590,199.93
0.00607,0.792,9800,3197,0.067,411,3040,229.29
0.00607,0.792,9800,3207,0.096,315,2710,249.71
0.00607,0.792,9800,3207,0.13,216,2380,269.88
0.00607,0.792,9800,3197,0.193,57,1920,299.79
0.00607,0.792,9800,4003,0.011,480,3761,214.19
0.00607,0.792,9800,4023,0.056,325,3030,247.62
0.00607,0.792,9800,4023,0.099,159,2239,281.01
0.00607,0.792,9800,4003,0.139,68,1930,297.85
0.00607,0.792,9800,5002,0.02,373,3811,237.46
0.00607,0.792,9800,5002,0.041,266,3090,259.82
0.00607,0.792,9800,5002,0.066,165,2460,279.86
0.00607,0.792,9800,5011,0.111,57,1970,299.79
0.0074,3.8,9800,1260,0.603,330,697,246.57
0.0074,3.8,9800,1486,0.507,291,697,254.69
0.0074,3.8,9800,2003,0.391,211,709,270.88
0.0074,3.8,9800,2519,0.331,133,709,285.95
0.0074,3.8,9800,3049,0.333,28,709,304.82
0.0074,3.8,9800,1486,0.5,965,1174,101.89
0.0074,3.8,9800,1983,0.388,709,1174,162.21
0.0074,3.8,9800,2003,0.397,691,1174,166.38
0.0074,3.8,9800,2519,0.302,540,1151,200.83
0.0074,3.8,9800,2558,0.305,540,1174,200.83
0.0074,3.8,9800,3004,0.269,453,1174,220.14
0.0074,3.8,9800,3475,0.267,335,1163,245.52
0.0074,3.8,9800,3940,0.265,256,1163,261.85
0.0074,3.8,9800,4496,0.287,154,1163,281.97
0.0074,3.8,9800,5529,0.266,90,1174,293.89
0.0074,3.8,9800,5878,0.284,34,1174,303.79
0.0074,3.8,9800,5943,0.287,28,1174,304.82
0.0104,3.8,9800,668,0.779,611,755,184.76
0.0104,3.8,9800,668,0.766,594,732,188.63
0.0104,3.8,9800,896,0.564,485,755,213.09
0.0104,3.8,9800,896,0.568,466,755,217.28
0.0104,3.8,9800,1112,0.444,387,767,234.46
0.0104,3.8,9800,1325,0.394,315,767,249.71
0.0104,3.8,9800,1662,0.347,191,744,274.81
0.0104,3.8,9800,1685,0.298,897,1477,118.06
0.0104,3.8,9800,1688,0.318,553,1128,197.9
0.0104,3.8,9800,1688,0.329,530,1104,203.07
0.0104,3.8,9800,2002,0.312,128,755,286.88
0.0104,3.8,9800,2015,0.328,112,767,289.86
0.0104,3.8,9800,2240,0.223,682,1500,168.46
0.0104,3.8,9800,2240,0.285,354,1104,241.5
0.0104,3.8,9800,2420,0.299,57,755,299.79
0.0104,3.8,9800,2747,0.25,261,1081,260.84
0.0104,3.8,9800,2806,0.159,558,1477,196.78
0.0104,3.8,9800,3303,0.121,489,1477,212.2
0.0104,3.8,9800,3336,0.122,480,1477,214.19
0.0104,3.8,9800,3369,0.245,154,1104,281.97
0.0051,2.6,11760,1999,0.305,863,1174,145.2
0.0051,2.6,11760,2489,0.271,647,1151,195.07
0.0051,2.6,11760,3998,0.185,376,1174,254.14
0.0051,2.6,11760,2992,0.178,1025,1756,106.86
0.0051,2.6,11760,3414,0.136,906,1732,135.08
0.0051,2.6,11760,3441,0.157,884,1744,140.26
0.0051,2.6,11760,3917,0.12,798,1744,160.39
0.0077,2.6,11760,1021,0.5,361,732,257.24
0.0077,2.6,11760,1021,0.517,341,732,261.35
0.0077,2.6,11760,1253,0.42,270,721,275.6
0.0077,2.6,11760,1253,0.445,244,721,280.67
0.0077,2.6,11760,1498,0.324,634,1128,198.01
0.0077,2.6,11760,1498,0.38,202,744,288.69
0.0077,2.6,11760,1736,0.235,897,1511,137.2
0.0077,2.6,11760,1760,0.353,142,744,299.7
0.0077,2.6,11760,1963,0.238,472,1104,233.8
0.0077,2.6,11760,1999,0.338,90,744,308.76
0.0077,2.6,11760,2017,0.175,1062,1895,98.04
0.0077,2.6,11760,2017,0.19,789,1511,162.48
0.0077,2.6,11760,2261,0.305,72,732,311.77
0.0077,2.6,11760,2285,0.142,719,1511,178.65
0.0077,2.6,11760,2422,0.162,638,1488,197.1
0.0077,2.6,11760,2494,0.117,914,1930,133.19
0.0077,2.6,11760,2506,0.184,381,1116,253.1
0.0077,2.6,11760,2721,0.179,341,1116,261.35
0.0077,2.6,11760,2750,0.183,326,1116,264.41
0.0077,2.6,11760,2756,0.108,807,1907,158.29
0.0077,2.6,11760,2756,0.139,579,1488,210.34
0.0077,2.6,11760,2971,0.1,745,1907,172.66
0.0077,2.6,11760,2971,0.124,542,1488,218.54
0.0077,2.6,11760,2971,0.183,291,1116,271.44
0.0077,2.6,11760,3252,0.095,692,1930,184.83
0.0077,2.6,11760,3252,0.174,260,1116,277.56
0.0077,2.6,11760,3281,0.112,486,1500,230.78
0.0077,2.6,11760,3442,0.11,458,1500,236.81
0.0077,2.6,11760,3777,0.092,584,1930,209.22
0.0077,2.6,11760,5727,0.197,113,1535,304.81
0.0077,2.6,11760,5984,0.216,67,1500,312.6
0.0104,3.8,11760,609,0.786,767,709,167.58
0.0104,3.8,11760,805,0.567,625,709,200.04
0.0104,3.8,11760,1014,0.464,477,721,232.72
0.0104,3.8,11760,1214,0.331,897,1069,137.2
0.0104,3.8,11760,1397,0.215,1201,1383,64.73
0.0104,3.8,11760,1501,0.26,745,1081,172.66
0.0104,3.8,11760,1515,0.326,301,721,269.44
0.0104,3.8,11760,1515,0.334,281,709,273.43
0.0104,3.8,11760,1940,0.304,169,709,294.81
0.0104,3.8,11760,1995,0.159,863,1418,145.2
0.0104,3.8,11760,1995,0.19,556,1069,215.44
0.0104,3.8,11760,1995,0.302,136,686,300.77
0.0104,3.8,11760,2384,0.314,61,709,313.59
0.0104,3.8,11760,2453,0.124,692,1395,184.83
0.00384,0.799,14710,3958,-0.082,701,2950,208.99
0.00384,0.799,14710,4006,0.106,357,2280,281.71
0.00384,0.799,14710,4006,0.111,309,2080,290.94
0.00384,0.799,14710,4006,0.134,254,1939,301.14
0.00384,0.799,14710,4006,0.164,203,1839,310.17
0.00384,0.799,14710,4006,0.187,137,1639,321.16
0.00384,0.799,14710,4006,0.213,80,1480,329.88
0.00384,0.799,14710,4990,0.123,254,2339,301.14
0.00384,0.799,14710,4942,0.149,203,2189,310.17
0.00384,0.799,14710,4942,0.184,137,2000,321.16
0.00384,0.799,14710,4942,0.206,86,1820,329
0.00384,1.549,14710,3982,0.185,537,1800,244.85
0.00384,1.549,14710,3982,0.197,479,1700,257.06
0.00384,1.549,14710,3982,0.231,403,1589,272.6
0.00384,1.549,14710,3958,0.255,352,1520,282.68
0.00384,1.549,14710,4006,0.261,287,1400,295.07
0.00384,1.549,14710,4006,0.258,220,1230,307.21
0.00384,1.549,14710,4006,0.272,167,1130,316.27
0.00384,1.549,14710,3982,0.294,106,1019,326
0.00384,1.549,14710,3982,0.316,47,919,334.54
0.0051,2.6,14710,2027,0.289,378,662,277.58
0.0051,2.6,14710,2258,0.302,287,662,295.07
0.0051,2.6,14710,2503,0.277,678,1163,214.12
0.0051,2.6,14710,2965,0.296,185,709,313.25
0.0051,2.6,14710,2992,0.227,575,1163,236.71
0.0051,2.6,14710,3495,0.216,464,1163,260.17
0.0051,2.6,14710,3522,0.316,73,686,330.89
0.00607,0.792,14710,1604,0.026,687,2200,212.11
0.00607,0.792,14710,1604,0.096,508,1860,251
0.00607,0.792,14710,1604,0.155,362,1610,280.73
0.00607,0.792,14710,1604,0.178,254,1370,301.14
0.00607,0.792,14710,1604,0.213,137,1119,321.16
0.00607,0.792,14710,2208,-0.015,566,2450,238.65
0.00607,0.792,14710,2208,0.095,362,1960,280.73
0.00607,0.792,14710,2199,0.166,143,1360,320.2
0.00607,0.792,14710,2199,0.21,73,1250,330.89
0.00607,0.792,14710,2707,-0.057,678,3200,214.12
0.00607,0.792,14710,2707,-0.002,542,2800,243.79
0.00607,0.792,14710,2717,0.038,444,2520,264.29
0.00607,0.792,14710,2698,0.118,197,1689,311.21
0.00607,0.792,14710,2717,0.181,73,1380,330.89
0.00607,0.792,14710,3207,-0.07,603,3261,230.64
0.00607,0.792,14710,3187,0.013,424,2660,268.36
0.00607,0.792,14710,3187,0.081,214,1870,308.26
0.00607,0.792,14710,3187,0.156,67,1420,331.75
0.00607,0.792,14710,4013,-0.04,464,3261,260.17
0.00607,0.792,14710,4013,0.035,309,2700,290.94
0.00607,0.792,14710,4013,0.102,137,1930,321.16
0.00607,0.792,14710,4013,0.147,67,1739,331.75
0.00607,0.792,14710,4954,-0.007,362,3411,280.73
0.00607,0.792,14710,4963,0.051,248,2940,302.22
0.00607,0.792,14710,4992,0.138,67,2060,331.75
0.0077,2.6,14710,1032,0.471,488,744,255.19
0.0077,2.6,14710,1235,0.381,424,755,268.36
0.0077,2.6,14710,1271,0.34,858,1128,173.23
0.0077,2.6,14710,1295,0.399,155,558,318.25
0.0077,2.6,14710,1426,0.321,388,755,275.6
0.0077,2.6,14710,1474,0.266,710,1104,206.97
0.0077,2.6,14710,1486,0.348,137,558,321.16
0.0077,2.6,14710,1522,0.224,1103,1488,115.66
0.0077,2.6,14710,1742,0.229,617,1093,227.58
0.0077,2.6,14710,1748,0.175,980,1442,144.77
0.0077,2.6,14710,2017,0.223,293,779,293.95
0.0077,2.6,14710,2255,0.09,1061,1918,125.64
0.0077,2.6,14710,2261,0.116,773,1488,192.73
0.0077,2.6,14710,2440,0.212,185,755,313.25
0.0077,2.6,14710,2458,0.086,923,1884,158.13
0.0077,2.6,14710,2470,0.17,439,1128,265.31
0.0077,2.6,14710,2500,0.131,682,1500,213.23
0.0077,2.6,14710,2750,0.117,613,1488,228.46
0.0077,2.6,14710,2750,0.09,836,1884,178.31
0.0077,2.6,14710,2798,0.25,99,767,327.06
0.0077,2.6,14710,3001,0.265,60,767,332.74
0.0077,2.6,14710,3001,0.132,537,1488,244.85
0.0077,2.6,14710,3156,0.201,254,1093,301.14
0.0077,2.6,14710,3252,0.132,493,1511,254.14
0.0077,2.6,14710,3472,0.148,439,1523,265.31
0.0077,2.6,14710,3520,0.219,191,1116,312.23
0.0077,2.6,14710,3532,0.111,622,1907,226.49
0.0077,2.6,14710,3663,0.161,383,1488,276.59
0.0077,2.6,14710,4301,0.189,287,1546,295.07
0.0077,2.6,14710,4636,0.186,243,1511,303.12
0.0077,2.6,14710,4749,0.195,226,1523,306.15
0.0077,2.6,14710,4999,0.147,362,1907,280.73
0.0077,2.6,14710,5137,0.214,167,1500,316.27
0.0077,2.6,14710,5357,0.229,137,1500,321.16
0.0077,2.6,14710,5495,0.163,287,1884,295.07
0.0077,2.6,14710,5495,0.232,124,1523,323.22
0.0077,2.6,14710,6079,0.185,231,1930,305.27
0.00807,0.778,14710,1005,0.112,464,1510,260.17
0.00807,0.778,14710,1011,0.166,309,1269,290.94
0.00807,0.778,14710,1000,0.214,197,1100,311.21
0.00807,0.782,14710,1011,-0.087,923,2170,158.13
0.00807,0.782,14710,1011,-0.043,791,1950,188.63
0.00807,0.782,14710,1016,0.043,608,1720,229.55
0.0078,0.776,14710,1593,-0.101,746,2580,198.86
0.00807,0.785,14710,1603,-0.054,608,2300,229.55
0.00807,0.785,14710,1592,0.014,464,1989,260.17
0.00807,0.785,14710,1597,0.076,309,1620,290.94
0.00807,0.785,14710,1597,0.154,137,1260,321.16
0.00802,1.57,14710,1012,0.279,464,969,260.17
0.00802,1.57,14710,1001,0.317,362,880,280.73
0.00802,1.57,14710,1001,0.33,243,750,303.12
0.00802,1.57,14710,1601,0.03,923,1989,158.13
0.00802,1.57,14710,1606,0.081,791,1789,188.63
0.00802,1.57,14710,1601,0.128,655,1610,219.22
0.00802,1.57,14710,1601,0.151,513,1370,249.94
0.00802,1.57,14710,1601,0.17,362,1110,280.73
0.00802,1.57,14710,1601,0.225,197,889,311.21
0.00802,1.57,14710,1601,0.276,73,750,330.89
0.00802,1.57,14710,2189,0.012,787,2239,189.54
0.00802,1.57,14710,2195,0.049,655,1980,219.22
0.00802,1.57,14710,2195,0.085,518,1700,248.89
0.00802,1.57,14710,2195,0.133,367,1430,279.75
0.00802,1.57,14710,2206,0.138,254,1169,301.14
0.00802,1.57,14710,2189,0.219,73,860,330.89
0.00802,1.57,14710,2700,-0.005,796,2720,187.49
0.00802,1.57,14710,2722,0.023,650,2350,220.33
0.00802,1.57,14710,2711,0.054,561,2130,239.72
0.01075,3,14710,1004,0.393,357,686,281.71
0.01075,3,14710,1004,0.365,464,752,260.17
0.01075,3,14710,1004,0.407,260,614,300.05
0.01075,3,14710,1001,0.441,137,534,321.16
0.01075,3,14710,995,0.484,5,434,339.99
0.0104,3.8,14710,534,0.696,214,337,308.26
0.0104,3.8,14710,671,0.543,265,383,299.13
0.0104,3.8,14710,700,0.533,155,337,318.25
0.0104,3.8,14710,785,0.456,469,500,259.14
0.0104,3.8,14710,995,0.374,336,488,285.78
0.0104,3.8,14710,1112,0.226,1200,1081,92.5
0.0104,3.8,14710,1112,0.268,728,755,202.92
0.0104,3.8,14710,1338,0.238,566,744,238.65
0.0104,3.8,14710,1361,0.174,975,1058,145.95
0.0104,3.8,14710,1668,0.194,444,744,264.29
0.0104,3.8,14710,1675,0.168,769,1069,193.64
0.0104,3.8,14710,1701,0.199,414,709,270.39
0.0104,3.8,14710,2178,0.225,282,744,296
0.0104,3.8,14710,2211,0.22,254,744,301.14
0.0104,3.8,14710,2218,0.153,522,1058,248.04
0.0104,3.8,14710,2237,0.101,867,1465,171.15
0.0104,3.8,14710,2270,0.049,1175,1884,98.48
0.0104,3.8,14710,2479,0.098,764,1465,194.78
0.0104,3.8,14710,2679,0.228,173,767,315.27
0.0104,3.8,14710,2777,0.034,980,1895,144.77
0.0104,3.8,14710,2777,0.17,383,1058,276.59
0.0104,3.8,14710,2806,0.237,143,755,320.2
0.0104,3.8,14710,2832,0.247,118,744,324.15
0.0104,3.8,14710,3359,0.059,755,1860,196.82
0.0104,3.8,14710,3359,0.198,254,1058,301.14
0.0104,3.8,14710,3444,0.136,488,1488,255.19
0.01075,4,14710,2030,0.181,464,885,260.17
0.01075,4,14710,2030,0.204,362,783,280.73
0.01075,4,14710,2017,0.242,254,689,301.14
0.01075,4,14710,2017,0.283,143,598,320.2
0.01075,4,14710,2783,0.173,439,1197,265.31
0.01075,4,14710,2749,0.188,362,1031,280.73
0.01075,4,14710,2749,0.188,362,1031,280.73
0.0104,3.8,15690,605,0.685,1091,721,127.51
0.0104,3.8,15690,605,0.71,1048,709,137.68
