,D,L,P,G,X,DH,CHF,T
718,0.01422,0.61,455000.0,4746.0,-0.082,424000.0,6908600.0,321.03999999999996
5838,0.00558,1.359,7030000.0,1012.0,0.87,183000.0,1550000.0,523.25
4151,0.01,4.966,15690000.0,1412.0,0.385,147000.0,366000.0,599.15
14392,0.01,4.966,3000000.0,4464.0,0.29,434000.0,2168000.0,409.28
11458,0.0151,6.0,14710000.0,519.0,0.667,464000.0,384000.0,533.3199999999999
19183,0.008,0.393,1980000.0,4754.0,-0.062,461000.0,8308000.0,378.99
4351,0.01001,3.0,19610000.0,1359.0,0.174,655000.0,867000.0,536.9
18409,0.008,1.57,14700000.0,2696.0,0.184,130000.0,1123000.0,595.3599999999999
4331,0.01,2.0,19610000.0,726.0,-0.299,1333000.0,1047000.0,382.72999999999996
9124,0.00782,0.25,9800000.0,2013.0,-0.128,549000.0,5891000.0,471.95
9998,0.0151,6.0,11760000.0,778.0,0.453,723000.0,626000.0,450.88
21393,0.00796,3.0,17650000.0,4000.0,-0.042,873000.0,2213000.0,469.71999999999997
20617,0.00781,3.0,6860000.0,1996.0,0.454,523000.0,1572000.0,446.59
14543,0.01,4.966,14000000.0,3717.0,0.193,554000.0,1392000.0,508.40999999999997
3190,0.0101,1.15,265000.0,289.0,0.621,404000.0,1105000.0,306.40999999999997
5615,0.00785,1.0,3040000.0,2800.0,0.141,658000.0,5004000.0,357.07
11540,0.00578,2.0,15690000.0,1493.0,0.283,594000.0,931000.0,514.03
12710,0.01075,6.0,17650000.0,499.0,0.596,123000.0,138000.0,615.02
19540,0.00796,1.0,6860000.0,1000.0,0.407,726000.0,2680000.0,399.27
7474,0.007,0.98,9829000.0,2914.0,0.239,113000.0,2285000.0,563.06
2989,0.0131,1.75,1187000.0,938.0,0.406,603000.0,2465000.0,319.03
5310,0.00998,2.5,6963000.0,1700.0,0.371,820000.0,2341000.0,378.25
680,0.01262,0.61,3480000.0,6668.2,-0.1048,418951.0,8108100.0,422.03
6077,0.00922,3.658,6964000.0,2793.4,0.361,337000.0,1532800.0,489.63
5249,0.00998,2.0,8042000.0,366.0,0.869,948000.0,1003000.0,360.30999999999995
12203,0.00578,3.0,17650000.0,4997.0,0.201,773000.0,2244000.0,492.21
23703,0.00798,6.0,5010000.0,1515.2,0.61,456000.0,734000.0,438.04999999999995
20658,0.00781,3.0,6860000.0,3960.0,0.232,554000.0,2318000.0,439.46
7164,0.0141,0.991,12407000.0,3410.3,0.06,99000.0,2063100.0,584.96
12636,0.0108,3.0,17650000.0,498.0,0.392,683000.0,446000.0,511.93999999999994
23769,0.00798,6.0,14000000.0,2529.4,0.279,552000.0,714000.0,508.84
19975,0.00785,1.0,9810000.0,1975.0,0.244,186000.0,1960000.0,549.03
4995,0.0106,0.76,6895000.0,1478.0,0.093,715000.0,4385000.0,402.28999999999996
14274,0.01001,3.0,18000000.0,362.0,0.62,610000.0,330000.0,530.67
19559,0.00801,1.0,6860000.0,1000.0,0.575,198000.0,2130000.0,518.3
3446,0.01,2.0,9800000.0,2335.0,0.159,496000.0,2053000.0,483.79999999999995
9529,0.00585,4.0,11760000.0,3297.0,0.344,27000.0,529000.0,592.17
20553,0.00781,3.0,6960000.0,1114.0,0.703,471000.0,1109000.0,459.64
6523,0.00622,0.914,10343000.0,2657.8,0.155,499000.0,3138800.0,488.27
569,0.00802,1.57,17650000.0,1007.0,-0.04,1149000.0,1420000.0,405.48
17652,0.008,1.57,12750000.0,1001.0,0.415,171000.0,835000.0,574.97
1110,0.00776,3.12,2579000.0,249.0,0.946,464000.0,340000.0,393.19
4187,0.01,2.0,17650000.0,807.0,0.155,1128000.0,1253000.0,410.45
21171,0.00781,3.0,13530000.0,2030.0,0.177,632000.0,1087000.0,487.28999999999996
9808,0.0082,5.34,11760000.0,1994.0,0.35,136000.0,426000.0,573.92
917,0.00394,3.12,3119000.0,842.0,0.922,767000.0,641000.0,332.63
10902,0.0151,6.0,13720000.0,771.0,0.446,98000.0,296000.0,593.99
10631,0.0082,6.0,13720000.0,1000.0,0.456,1452000.0,658000.0,295.84999999999997
5773,0.0128,0.914,7030000.0,1884.0,0.032,499000.0,3611000.0,454.08
4483,0.0151,4.017,5001000.0,2270.0,0.371,89589.0,1464000.0,520.8199999999999
15180,0.00921,3.66,6870000.0,4111.1,0.281,251000.0,1715000.0,507.2
1056,0.00776,3.12,3717000.0,626.0,0.878,599000.0,826000.0,383.99
19080,0.008,0.241,1000000.0,5135.0,-0.003,208000.0,8538000.0,404.93999999999994
15213,0.0126,3.66,6870000.0,2522.2,0.338,211000.0,1550000.0,515.68
4210,0.01,2.0,17650000.0,2374.0,0.294,86000.0,992000.0,619.69
8371,0.00585,5.0,6860000.0,3308.0,0.365,756000.0,1256000.0,392.17999999999995
12069,0.0146,6.0,15690000.0,2031.0,0.318,292000.0,736000.0,574.56
20573,0.00801,3.0,6860000.0,2000.0,0.389,773000.0,1808000.0,388.15
23156,0.00811,3.66,6980000.0,1004.6,0.776,52000.0,680000.0,548.96
12775,0.00581,1.0,19610000.0,1499.0,0.177,346000.0,1035000.0,595.66
1679,0.00999,0.6,2981000.0,411.0,0.695,777000.0,3462000.0,327.40999999999997
627,0.0104,3.8,17650000.0,2888.0,0.132,636000.0,1465000.0,522.03
4804,0.0128,1.93,10343000.0,2739.0,0.068,409000.0,2259000.0,507.89
16225,0.008,1.57,4900000.0,1595.0,0.476,685000.0,2987000.0,382.78
17348,0.008,1.57,9800000.0,3967.0,0.04,576000.0,3164000.0,465.86
16016,0.015,4.001,4090000.0,63.0,0.95,4492.0,96000.0,523.91
12782,0.00581,1.0,19610000.0,3353.0,-0.243,864000.0,3437000.0,491.78999999999996
12192,0.00578,3.0,17650000.0,3335.0,0.311,378000.0,1028000.0,573.71
19854,0.008,1.0,9810000.0,980.0,0.321,804000.0,2390000.0,413.27
22738,0.00811,2.0,4990000.0,4025.0,0.299,52000.0,2215000.0,526.49
1954,0.01,2.25,1353000.0,465.0,0.751,519000.0,1033000.0,345.46999999999997
13484,0.01,2.0,8000000.0,568.0,0.734,913000.0,1400000.0,368.19
9371,0.0151,6.0,9800000.0,519.0,0.844,457000.0,525000.0,492.40999999999997
19596,0.00785,1.0,6670000.0,1074.0,0.448,682000.0,2860000.0,407.31999999999994
1604,0.00996,0.96,1942000.0,1541.0,0.33,362000.0,3943000.0,401.31999999999994
10610,0.0082,5.34,13720000.0,2015.0,0.297,616000.0,723000.0,492.48
9533,0.00585,4.0,11760000.0,4992.0,0.109,811000.0,1697000.0,430.51
4575,0.0151,3.962,6443000.0,3850.0,0.234,30598.0,1451000.0,549.37
20417,0.008,1.0,17650000.0,2000.0,-0.26,993000.0,3090000.0,442.12
12857,0.00578,3.0,19610000.0,3335.0,0.059,1128000.0,1852000.0,431.29999999999995
6011,0.01146,1.727,7170000.0,2025.0,0.28,371000.0,2650000.0,484.45
7744,0.00932,3.048,13755100.0,1017.2,0.379,453105.0,671478.0,527.8
13739,0.01,2.0,16000000.0,893.0,0.141,1109000.0,1385000.0,399.25
8649,0.00578,3.0,7840000.0,1493.0,0.566,370000.0,857000.0,491.92999999999995
3345,0.00607,1.0,4021000.0,1165.0,0.644,847000.0,3444000.0,330.15
5940,0.00935,2.007,6960000.0,1174.0,0.64,374000.0,1830000.0,481.41999999999996
2971,0.0131,1.75,1991000.0,1116.0,0.396,689000.0,2992000.0,324.91999999999996
7252,0.0141,1.524,11063000.0,2712.0,0.116,101000.0,1507900.0,574.9
10949,0.00581,1.0,14710000.0,3353.0,0.153,254000.0,2044000.0,574.29
12299,0.00585,6.0,17650000.0,1499.0,0.396,483000.0,294000.0,553.54
22975,0.00811,3.0,10010000.0,1257.4,0.497,59000.0,605000.0,574.23
20984,0.00801,3.0,13730000.0,500.0,0.683,158000.0,301000.0,584.21
22539,0.008,3.5,2984000.0,2017.0,0.479,54000.0,1019000.0,495.14
4977,0.0105,1.8,13790000.0,949.0,0.361,161000.0,760000.0,584.1099999999999
3268,0.01,1.0,3040000.0,455.0,0.677,797000.0,2291000.0,323.84
8912,0.00578,2.0,9800000.0,1493.0,0.388,902000.0,1521000.0,390.02
12367,0.00805,2.0,17650000.0,1458.0,0.232,372000.0,837000.0,574.8199999999999
21773,0.0078,6.0,13730000.0,4026.0,0.27,635000.0,1210000.0,488.36
3261,0.01,2.0,1079000.0,2330.0,0.281,551000.0,3257000.0,326.96999999999997
8891,0.00581,1.0,9800000.0,3353.0,0.055,638000.0,3443000.0,451.73
4959,0.0112,3.04,10446000.0,6726.0,0.142,163000.0,2145000.0,558.75
8220,0.00581,1.0,6860000.0,1499.0,0.402,924000.0,3335000.0,352.19
4724,0.0151,2.235,6512000.0,2270.0,0.182,232798.0,1927000.0,507.96
11630,0.00585,4.0,15690000.0,3318.0,0.336,172000.0,611000.0,595.21
4496,0.0151,4.019,5021000.0,2250.0,0.348,258957.0,1722000.0,484.59
16240,0.008,1.57,4900000.0,2212.0,0.397,326000.0,2767000.0,466.13
14084,0.01001,3.0,10000000.0,355.0,0.93,549000.0,525000.0,473.88
1997,0.01,2.0,2207000.0,671.0,0.655,565000.0,1505000.0,360.28
21758,0.00778,6.0,13830000.0,1984.0,0.271,1022000.0,840000.0,399.99
20852,0.00795,3.0,9810000.0,1990.0,0.345,453000.0,1237000.0,493.38
3313,0.00607,1.0,3040000.0,571.0,0.805,805000.0,1947000.0,321.91999999999996
9682,0.00805,0.5,11760000.0,2795.0,0.038,250000.0,3314000.0,552.66
6315,0.01,0.35,2220000.0,3259.5,-0.1576,698812.0,9420000.0,328.65
11707,0.00805,1.0,15690000.0,2014.0,0.057,401000.0,1860000.0,553.8599999999999
22178,0.0134,3.658,15449000.0,2022.2,0.261,182000.0,807100.0,591.96
6706,0.0093,1.219,136000.0,162.7,0.81,60000.0,578000.0,367.35999999999996
23046,0.00811,3.0,16020000.0,1995.8,0.346,80000.0,541000.0,610.94
17341,0.008,1.57,9800000.0,4027.0,0.079,359000.0,2367000.0,513.5899999999999
10071,0.00472,0.305,13720000.0,3573.0,0.081,134000.0,3185000.0,588.17
3455,0.01,2.0,9800000.0,4252.0,0.056,433000.0,2690000.0,497.65999999999997
10599,0.0082,5.37,13720000.0,1505.0,0.393,522000.0,544000.0,512.9399999999999
10574,0.0082,5.37,13720000.0,1026.0,0.481,885000.0,547000.0,431.21999999999997
18040,0.011,6.0,12750000.0,2158.0,0.232,436000.0,696000.0,523.0699999999999
8583,0.00399,0.5,7840000.0,4444.0,0.154,68000.0,2599000.0,554.19
3987,0.01,1.0,15690000.0,917.0,0.068,1121000.0,2699000.0,393.53999999999996
18181,0.008,0.78,14700000.0,1011.0,-0.067,879000.0,2099000.0,441.42999999999995
14176,0.01001,3.0,12000000.0,4936.0,0.193,126000.0,1470000.0,577.44
24609,0.008,1.0,14727000.0,1784.8,0.1386,336242.0,1702700.0,560.6099999999999
22663,0.00811,1.0,16010000.0,252.7,0.876,157000.0,497000.0,599.69
18548,0.008,2.0,14700000.0,5006.0,0.147,254000.0,2069000.0,574.22
458,0.00802,1.57,14710000.0,2195.0,0.133,367000.0,1430000.0,552.9
6376,0.01,0.35,3070000.0,2992.1,-0.2097,922607.0,11700000.0,294.34999999999997
7645,0.012,1.8,294000.0,400.0,0.6668,252636.0,1131000.0,346.15
15917,0.0126,2.438,6943000.0,1322.2,0.51,74000.0,1441100.0,544.31
3928,0.01,4.966,13720000.0,3014.0,0.195,560000.0,1143000.0,504.74
10615,0.0082,5.34,13720000.0,1989.0,0.345,270000.0,496000.0,564.0
17187,0.008,2.44,9800000.0,2190.0,0.245,594000.0,1643000.0,461.78
18516,0.008,1.57,14700000.0,3961.0,0.202,73000.0,1442000.0,603.98
10450,0.00795,2.0,13720000.0,2004.0,0.129,616000.0,1500000.0,492.48
15347,0.0108,1.0,9810000.0,2000.0,0.208,62000.0,1828000.0,572.14
12824,0.00578,2.0,19610000.0,3441.0,0.346,221000.0,1143000.0,614.99
23868,0.008,1.75,10036000.0,3786.0,0.165,202989.0,1813000.0,547.64
3207,0.0101,1.15,314000.0,607.0,0.418,430000.0,1762000.0,306.03999999999996
6881,0.0093,1.219,136000.0,162.7,0.852,191000.0,648000.0,336.14
20686,0.00801,3.0,9810000.0,501.0,0.784,504000.0,515000.0,482.12
12167,0.00578,3.0,17650000.0,1493.0,0.239,1209000.0,1000000.0,391.22999999999996
17103,0.008,1.57,9800000.0,1601.0,0.191,1158000.0,2868000.0,328.83
1731,0.00999,0.6,1383000.0,586.0,0.535,537000.0,3867000.0,342.25
9942,0.0108,5.8,11760000.0,1004.0,0.425,301000.0,379000.0,542.5899999999999
19247,0.0095,1.84,11032000.0,676.4,0.592,182304.0,813990.0,559.8199999999999
8790,0.00795,2.0,7840000.0,985.0,0.632,720000.0,1593000.0,412.11
18592,0.011,6.0,14700000.0,3103.0,0.277,254000.0,774000.0,574.22
13027,0.0082,5.34,19610000.0,1500.0,0.323,1044000.0,711000.0,450.86
23765,0.00798,6.0,14000000.0,1004.5,0.504,550000.0,363000.0,509.27
13757,0.01,2.0,16000000.0,216.0,0.896,946000.0,481000.0,437.59999999999997
12703,0.01075,5.0,17650000.0,2033.0,0.335,255000.0,590000.0,595.29
22291,0.00545,2.511,9520000.0,6930.2,0.326,15000.0,1706900.0,578.02
3478,0.01001,3.0,9800000.0,4744.0,0.076,482000.0,2303000.0,486.9
16863,0.00384,1.55,9800000.0,3984.0,0.217,530000.0,2013000.0,476.21999999999997
17667,0.008,3.49,12750000.0,999.0,0.496,460000.0,576000.0,518.01
7758,0.00932,3.048,13824000.0,4135.1,0.212,170728.0,1262569.0,582.68
3689,0.01,4.966,11760000.0,400.0,0.814,125000.0,223000.0,575.8599999999999
892,0.0152,1.627,5001000.0,2150.0,0.474,-608242.0,819000.0,537.1099999999999
13726,0.01,2.0,16000000.0,230.0,0.625,1115000.0,488000.0,397.83
2882,0.0131,2.25,2795000.0,284.0,0.86,859000.0,995000.0,303.79999999999995
13689,0.01,2.0,14000000.0,2096.0,0.005,1032000.0,2719000.0,399.17999999999995
4605,0.0151,3.178,4992000.0,2240.0,0.284,376963.0,2205000.0,457.53999999999996
5661,0.00785,1.0,7100000.0,1744.2,0.139,954000.0,3978000.0,347.92999999999995
22385,0.008,1.0,1002000.0,1000.0,0.459,279000.0,2360000.0,388.32
12446,0.00803,3.0,17650000.0,3330.0,0.173,582000.0,1616000.0,533.39
8503,0.01075,4.0,6860000.0,499.0,0.94,125000.0,522000.0,533.31
15849,0.0104,3.8,19620000.0,2219.4,0.0,968000.0,1470000.0,468.43999999999994
3224,0.01,2.0,2059000.0,633.0,0.622,721000.0,1503000.0,319.12
15901,0.0126,3.658,6960000.0,1322.2,0.558,79000.0,1048500.0,543.51
13980,0.01,2.0,7000000.0,3179.0,0.295,33000.0,1890000.0,552.79
17838,0.008,1.57,12750000.0,2737.0,0.119,347000.0,1692000.0,541.4
16745,0.008,1.6,7850000.0,2690.0,0.161,547000.0,2627000.0,452.36
9772,0.0082,5.34,11760000.0,1010.0,0.497,982000.0,608000.0,390.24
9154,0.00795,2.0,9800000.0,1495.0,0.39,459000.0,1465000.0,491.96999999999997
1241,0.00776,2.08,1344000.0,376.0,0.874,365000.0,730000.0,381.77
21227,0.00801,3.0,17650000.0,500.0,0.491,1393000.0,592000.0,347.15
24365,0.008,1.4,108000.0,60.0,0.745,305000.0,170000.0,302.15
18437,0.008,5.03,14700000.0,2709.0,0.249,508000.0,823000.0,524.06
10467,0.0077,2.1,13720000.0,1522.0,0.28,367000.0,930000.0,545.13
3267,0.01,1.0,3040000.0,400.0,0.704,805000.0,2072000.0,321.91999999999996
13698,0.01,2.0,14000000.0,2693.0,-0.036,1008000.0,3267000.0,404.86
15637,0.0104,3.8,14710000.0,1669.4,0.194,443000.0,744000.0,537.64
24274,0.008,0.8,122000.0,200.0,0.582,325000.0,817000.0,300.89
15640,0.0104,3.8,14710000.0,2180.6,0.225,289000.0,744000.0,567.8499999999999
20718,0.00801,3.0,9810000.0,1000.0,0.568,397000.0,764000.0,505.55999999999995
4921,0.0128,0.91,6895000.0,7594.0,0.027,88000.0,3420000.0,541.0699999999999
18233,0.008,3.49,14710000.0,1000.0,0.382,719000.0,619000.0,478.09999999999997
12254,0.00585,4.0,17650000.0,5013.0,0.413,123000.0,865000.0,615.02
7290,0.0141,1.524,12476000.0,2699.8,0.124,66000.0,1318600.0,590.8199999999999
10793,0.01075,4.0,13720000.0,1519.0,0.172,707000.0,907000.0,472.14
23606,0.00811,5.0,13990000.0,250.8,0.979,550000.0,162000.0,509.18999999999994
21132,0.00803,3.0,13730000.0,1997.0,0.168,885000.0,1418000.0,431.30999999999995
4184,0.01,2.0,17650000.0,722.0,0.119,1089000.0,1061000.0,419.65999999999997
21738,0.00803,6.0,13630000.0,1999.0,0.345,178000.0,380000.0,580.06
4433,0.01001,4.966,19610000.0,2471.0,0.41,177000.0,541000.0,620.88
12597,0.0108,2.0,17650000.0,1001.0,0.019,866000.0,1186000.0,471.30999999999995
16982,0.008,0.78,9800000.0,1005.0,0.27,549000.0,2333000.0,471.95
11421,0.01075,6.0,14710000.0,499.0,0.572,464000.0,234000.0,533.3199999999999
16287,0.008,0.78,4900000.0,1634.0,0.291,494000.0,3988000.0,427.66999999999996
12191,0.00578,3.0,17650000.0,3335.0,0.283,480000.0,1147000.0,554.13
12172,0.00578,3.0,17650000.0,1493.0,0.29,768000.0,719000.0,493.31999999999994
5640,0.00785,1.0,7100000.0,351.2,0.817,1014000.0,1543000.0,333.54999999999995
12843,0.00578,3.0,19610000.0,1493.0,0.278,864000.0,743000.0,491.78999999999996
1648,0.00996,0.96,3089000.0,2331.0,0.184,415000.0,4496000.0,415.51
237,0.00607,0.792,9800000.0,2698.0,0.068,549000.0,3280000.0,471.95
1329,0.00993,3.12,647000.0,711.0,0.6,177000.0,804000.0,393.65999999999997
23583,0.00811,5.0,12000000.0,3019.0,0.303,65000.0,519000.0,587.75
3393,0.01,1.0,9800000.0,1164.0,0.198,866000.0,3257000.0,398.54999999999995
1427,0.00993,2.08,3668000.0,435.0,0.915,629000.0,1152000.0,376.0
15672,0.00798,1.645,15700000.0,2833.3,0.076,617000.0,2384000.0,509.15999999999997
20034,0.00801,1.0,13730000.0,500.0,0.412,1258000.0,1690000.0,342.69
13564,0.01,2.0,10000000.0,871.0,0.504,556000.0,1328000.0,472.30999999999995
12499,0.0082,5.34,17650000.0,1010.0,0.483,123000.0,205000.0,615.02
6053,0.01262,3.658,6888000.0,2590.0,0.336,126000.0,1402900.0,533.4
21358,0.00803,3.0,17650000.0,2001.0,0.261,626000.0,1120000.0,524.15
12569,0.0108,1.0,17650000.0,2017.0,-0.027,372000.0,1968000.0,574.8199999999999
12173,0.00578,3.0,17650000.0,1493.0,0.279,674000.0,646000.0,513.89
14413,0.01,4.966,7000000.0,835.0,0.812,476000.0,725000.0,458.96999999999997
19160,0.008,0.393,1910000.0,5022.0,-0.068,470000.0,8660000.0,374.9
13829,0.01,2.0,20000000.0,262.0,0.393,1403000.0,535000.0,370.76
