D,L,P,G,Xchf,DHin,CHF,Tin
0.00607,0.792,7840.0,1604.0,0.312,384.0,2620.0,215.71
0.00607,0.792,7840.0,1604.0,0.357,300.0,2520.0,233.95
0.00607,0.792,7840.0,1604.0,0.385,199.0,2330.0,255.13
0.00607,0.792,7840.0,2199.0,0.181,488.0,3161.0,192.51
0.00607,0.792,7840.0,2199.0,0.21,393.0,2940.0,213.73
0.00607,0.792,7840.0,2199.0,0.318,47.0,2210.0,285.0
0.00607,0.792,7840.0,2208.0,0.154,568.0,3330.0,174.28
0.00607,0.792,7840.0,2208.0,0.255,262.0,2680.0,242.02
0.00607,0.792,7840.0,2208.0,0.291,165.0,2480.0,262.04
0.00607,0.792,7840.0,2698.0,0.079,630.0,3830.0,159.97
0.00607,0.792,7840.0,2698.0,0.125,479.0,3420.0,194.54
0.00607,0.792,7840.0,2688.0,0.159,351.0,3000.0,222.93
0.00607,0.792,7840.0,2688.0,0.196,257.0,2810.0,243.07
0.00607,0.792,7840.0,2698.0,0.232,145.0,2500.0,266.05
0.00607,0.792,7840.0,2698.0,0.28,31.0,2260.0,287.96
0.00607,0.792,7840.0,3207.0,0.065,529.0,3820.0,183.21
0.00607,0.792,7840.0,3207.0,0.096,425.0,3461.0,206.64
0.00607,0.792,7840.0,3207.0,0.124,323.0,3066.0,229.0
0.00607,0.792,7840.0,3207.0,0.157,228.0,2800.0,249.14
0.00607,0.792,7840.0,3216.0,0.208,99.0,2480.0,275.1
0.00607,0.792,7840.0,4003.0,0.029,461.0,3880.0,198.59
0.00607,0.792,7840.0,3994.0,0.075,309.0,3211.0,232.02
0.00607,0.792,7840.0,4013.0,0.144,134.0,2620.0,268.24
0.00607,0.792,7840.0,4013.0,0.189,36.0,2380.0,287.04
0.00607,0.792,7840.0,4982.0,-0.024,551.0,4890.0,178.18
0.00607,0.792,7840.0,4982.0,0.004,457.0,4440.0,199.49
0.00607,0.792,7840.0,5002.0,0.044,319.0,3700.0,229.87
0.00607,0.792,7840.0,4963.0,0.074,214.0,3050.0,252.04
0.00607,0.792,7840.0,5011.0,0.109,109.0,2580.0,273.15
0.00607,0.792,7840.0,5011.0,0.133,41.0,2260.0,286.11
0.0078,0.789,7840.0,995.0,0.288,780.0,2960.0,124.82
0.0078,0.789,7840.0,995.0,0.343,647.0,2820.0,156.02
0.0078,0.789,7840.0,995.0,0.387,515.0,2660.0,186.39
0.0078,0.789,7840.0,983.0,0.429,439.0,2580.0,203.52
0.0078,0.789,7840.0,995.0,0.463,319.0,2450.0,229.87
0.0078,0.776,7840.0,1599.0,0.144,652.0,3461.0,154.86
0.0078,0.776,7840.0,1605.0,0.206,502.0,3250.0,189.34
0.00807,0.778,7840.0,1613.0,0.249,370.0,3000.0,218.78
0.00807,0.778,7840.0,1608.0,0.273,271.0,2790.0,240.12
0.00807,0.778,7840.0,1581.0,0.331,119.0,2460.0,271.2
0.00807,0.778,7840.0,2205.0,0.018,784.0,4600.0,123.88
0.00807,0.778,7840.0,2211.0,0.044,686.0,4270.0,146.93
0.00807,0.778,7840.0,2216.0,0.087,493.0,3540.0,191.38
0.00807,0.778,7840.0,2200.0,0.141,347.0,3130.0,223.8
0.00807,0.778,7840.0,2705.0,0.007,634.0,4520.0,159.04
0.00807,0.778,7840.0,2662.0,0.059,479.0,3861.0,194.54
0.00807,0.778,7840.0,2678.0,0.109,300.0,3170.0,233.95
0.00807,0.778,7840.0,3199.0,-0.028,647.0,4990.0,156.02
0.00807,0.778,7840.0,3210.0,-0.004,502.0,4140.0,189.34
0.00807,0.778,7840.0,3199.0,0.049,375.0,3720.0,217.69
0.00807,0.778,7840.0,3205.0,0.106,209.0,3011.0,253.07
0.00802,1.57,7840.0,1001.0,0.577,617.0,1850.0,162.98
0.00802,1.57,7840.0,1007.0,0.601,502.0,1750.0,189.34
0.00802,1.57,7840.0,1001.0,0.622,351.0,1589.0,222.93
0.00802,1.57,7840.0,1001.0,0.636,165.0,1389.0,262.04
0.00802,1.57,7840.0,1023.0,0.633,52.0,1269.0,284.06
0.00802,1.57,7840.0,1595.0,0.334,695.0,2389.0,144.82
0.00802,1.57,7840.0,1606.0,0.347,612.0,2280.0,164.14
0.00802,1.57,7840.0,1606.0,0.398,439.0,2080.0,203.52
0.00802,1.57,7840.0,1595.0,0.432,300.0,1880.0,233.95
0.00802,1.57,7840.0,1612.0,0.434,150.0,1600.0,265.05
0.00802,1.57,7840.0,1606.0,0.46,47.0,1470.0,285.0
0.00802,1.57,7840.0,2206.0,0.247,524.0,2480.0,184.35
0.00802,1.57,7840.0,2206.0,0.267,434.0,2320.0,204.63
0.00802,1.57,7840.0,2206.0,0.306,305.0,2100.0,232.87
0.00802,1.57,7840.0,2206.0,0.334,199.0,1910.0,255.13
0.00802,1.57,7840.0,2195.0,0.355,109.0,1750.0,273.15
0.00802,1.57,7840.0,2706.0,0.136,612.0,2810.0,164.14
0.00802,1.57,7840.0,2717.0,0.178,479.0,2560.0,194.54
0.00802,1.57,7840.0,2706.0,0.215,342.0,2260.0,224.89
0.00802,1.57,7840.0,2706.0,0.251,243.0,2110.0,246.01
0.00802,1.57,7840.0,2728.0,0.28,145.0,1920.0,266.05
0.00802,1.595,7840.0,2706.0,0.132,634.0,2820.0,159.04
0.00802,1.595,7840.0,2689.0,0.157,546.0,2630.0,179.32
0.00802,1.595,7840.0,2706.0,0.185,452.0,2539.0,200.61
0.00802,1.595,7840.0,2706.0,0.214,314.0,2139.0,230.94
0.00802,1.595,7840.0,2695.0,0.276,174.0,1960.0,260.22
0.00802,1.595,7840.0,2695.0,0.32,20.0,1650.0,289.98
0.00384,0.799,9800.0,3982.0,0.112,489.0,3070.0,212.2
0.00384,0.799,9800.0,4054.0,0.118,439.0,2920.0,223.2
0.00384,0.799,9800.0,3910.0,0.141,387.0,2710.0,234.46
0.00384,0.799,9800.0,3958.0,0.159,335.0,2600.0,245.52
0.00384,0.799,9800.0,3982.0,0.16,296.0,2450.0,253.65
0.00384,0.799,9800.0,3886.0,0.198,226.0,2310.0,267.89
0.00384,0.799,9800.0,4006.0,0.208,175.0,2189.0,277.93
0.00384,0.799,9800.0,3910.0,0.238,106.0,2010.0,290.97
0.00384,0.799,9800.0,3982.0,0.261,51.0,1920.0,300.85
0.00384,0.799,9800.0,5013.0,0.033,620.0,4000.0,182.7
0.00384,0.799,9800.0,5013.0,0.055,553.0,3770.0,197.9
0.00384,0.799,9800.0,5013.0,0.066,503.0,3561.0,209.09
0.00384,0.799,9800.0,5013.0,0.081,457.0,3400.0,219.26
0.00384,0.799,9800.0,5013.0,0.088,406.0,3150.0,230.37
0.00384,0.799,9800.0,4990.0,0.107,363.0,3050.0,239.59
0.00384,0.799,9800.0,5013.0,0.117,315.0,2850.0,249.71
0.00384,0.799,9800.0,5013.0,0.129,271.0,2710.0,258.8
0.00384,0.799,9800.0,4990.0,0.16,206.0,2550.0,271.87
0.00384,0.799,9800.0,5013.0,0.196,149.0,2489.0,282.92
0.00384,0.799,9800.0,4990.0,0.216,106.0,2376.0,290.97
0.00384,0.799,9800.0,4990.0,0.246,51.0,2289.0,300.85
0.00384,0.799,9800.0,7460.0,-0.003,526.0,4681.0,203.96
0.00384,0.799,9800.0,7460.0,0.013,480.0,4450.0,214.19
0.00384,0.799,9800.0,7532.0,0.03,387.0,3890.0,234.46
0.00384,0.799,9800.0,7484.0,0.047,335.0,3590.0,245.52
0.00384,0.799,9800.0,7460.0,0.052,291.0,3250.0,254.69
0.00384,0.799,9800.0,7532.0,0.064,236.0,2960.0,265.89
0.00384,0.799,9800.0,7556.0,0.082,185.0,2720.0,275.98
0.00384,0.799,9800.0,7460.0,0.104,138.0,2520.0,285.0
0.00384,1.549,9800.0,3982.0,0.218,530.0,2020.0,203.07
0.00384,1.549,9800.0,3958.0,0.224,471.0,1889.0,216.18
0.00384,1.549,9800.0,3934.0,0.234,429.0,1810.0,225.38
0.00384,1.549,9800.0,4006.0,0.243,373.0,1730.0,237.46
0.00384,1.549,9800.0,3982.0,0.259,315.0,1630.0,249.71
0.00384,1.549,9800.0,3982.0,0.269,261.0,1530.0,260.84
0.00384,1.549,9800.0,3958.0,0.289,206.0,1450.0,271.87
0.00384,1.549,9800.0,3958.0,0.306,154.0,1380.0,281.97
0.00384,1.549,9800.0,4006.0,0.292,165.0,1389.0,279.86
0.00384,1.549,9800.0,3934.0,0.339,79.0,1300.0,295.88
0.0051,2.6,9800.0,1986.0,0.382,687.0,1139.0,167.3
0.0051,2.6,9800.0,1986.0,0.391,673.0,1139.0,170.53
0.0051,2.6,9800.0,2503.0,0.392,443.0,1174.0,222.33
0.0051,2.6,9800.0,2992.0,0.337,359.0,1163.0,240.44
0.0051,2.6,9800.0,3441.0,0.301,281.0,1163.0,256.75
0.0051,2.6,9800.0,3998.0,0.289,206.0,1174.0,271.87
0.0051,2.6,9800.0,4746.0,0.317,84.0,1186.0,294.98
0.0051,2.6,9800.0,5304.0,0.131,521.0,1779.0,205.08
0.0051,2.6,9800.0,5304.0,0.124,535.0,1791.0,201.95
0.00607,0.792,9800.0,1604.0,0.237,503.0,2489.0,209.09
0.00607,0.792,9800.0,1613.0,0.27,387.0,2310.0,234.46
0.00607,0.792,9800.0,1584.0,0.304,291.0,2110.0,254.69
0.00607,0.792,9800.0,1594.0,0.344,165.0,1900.0,279.86
0.00607,0.792,9800.0,1594.0,0.385,51.0,1710.0,300.85
0.00607,0.792,9800.0,2208.0,0.095,629.0,3170.0,180.64
0.00607,0.792,9800.0,2199.0,0.12,526.0,2870.0,203.96
0.00607,0.792,9800.0,2208.0,0.171,373.0,2539.0,237.46
0.00607,0.792,9800.0,2208.0,0.22,216.0,2170.0,269.88
0.00607,0.792,9800.0,2199.0,0.285,57.0,1820.0,299.79
0.00607,0.792,9800.0,2707.0,0.011,791.0,4130.0,143.07
0.00607,0.792,9800.0,2707.0,0.044,682.0,3811.0,168.46
0.00607,0.792,9800.0,2698.0,0.068,549.0,3280.0,198.8
0.00607,0.792,9800.0,2707.0,0.103,411.0,2820.0,229.29
0.00607,0.792,9800.0,2707.0,0.143,266.0,2360.0,259.82
0.00607,0.792,9800.0,2659.0,0.213,112.0,2010.0,289.86
0.00607,0.792,9800.0,2707.0,0.226,45.0,1800.0,301.89
0.00607,0.792,9800.0,3197.0,0.007,665.0,4090.0,172.38
0.00607,0.792,9800.0,3207.0,0.035,544.0,3590.0,199.93
0.00607,0.792,9800.0,3197.0,0.067,411.0,3040.0,229.29
0.00607,0.792,9800.0,3207.0,0.096,315.0,2710.0,249.71
0.00607,0.792,9800.0,3207.0,0.13,216.0,2380.0,269.88
0.00607,0.792,9800.0,3197.0,0.193,57.0,1920.0,299.79
0.00607,0.792,9800.0,4003.0,0.011,480.0,3761.0,214.19
0.00607,0.792,9800.0,4023.0,0.056,325.0,3030.0,247.62
0.00607,0.792,9800.0,4023.0,0.099,159.0,2239.0,281.01
0.00607,0.792,9800.0,4003.0,0.139,68.0,1930.0,297.85
0.00607,0.792,9800.0,5002.0,0.02,373.0,3811.0,237.46
0.00607,0.792,9800.0,5002.0,0.041,266.0,3090.0,259.82
0.00607,0.792,9800.0,5002.0,0.066,165.0,2460.0,279.86
0.00607,0.792,9800.0,5011.0,0.111,57.0,1970.0,299.79
0.0074,3.8,9800.0,1260.0,0.603,330.0,697.0,246.57
0.0074,3.8,9800.0,1486.0,0.507,291.0,697.0,254.69
0.0074,3.8,9800.0,2003.0,0.391,211.0,709.0,270.88
0.0074,3.8,9800.0,2519.0,0.331,133.0,709.0,285.95
0.0074,3.8,9800.0,3049.0,0.333,28.0,709.0,304.82
0.0074,3.8,9800.0,1486.0,0.5,965.0,1174.0,101.89
0.0074,3.8,9800.0,1983.0,0.388,709.0,1174.0,162.21
0.0074,3.8,9800.0,2003.0,0.397,691.0,1174.0,166.38
0.0074,3.8,9800.0,2519.0,0.302,540.0,1151.0,200.83
0.0074,3.8,9800.0,2558.0,0.305,540.0,1174.0,200.83
0.0074,3.8,9800.0,3004.0,0.269,453.0,1174.0,220.14
0.0074,3.8,9800.0,3475.0,0.267,335.0,1163.0,245.52
0.0074,3.8,9800.0,3940.0,0.265,256.0,1163.0,261.85
0.0074,3.8,9800.0,4496.0,0.287,154.0,1163.0,281.97
0.0074,3.8,9800.0,5529.0,0.266,90.0,1174.0,293.89
0.0074,3.8,9800.0,5878.0,0.284,34.0,1174.0,303.79
0.0074,3.8,9800.0,5943.0,0.287,28.0,1174.0,304.82
0.0104,3.8,9800.0,668.0,0.779,611.0,755.0,184.76
0.0104,3.8,9800.0,668.0,0.766,594.0,732.0,188.63
0.0104,3.8,9800.0,896.0,0.564,485.0,755.0,213.09
0.0104,3.8,9800.0,896.0,0.568,466.0,755.0,217.28
0.0104,3.8,9800.0,1112.0,0.444,387.0,767.0,234.46
0.0104,3.8,9800.0,1325.0,0.394,315.0,767.0,249.71
0.0104,3.8,9800.0,1662.0,0.347,191.0,744.0,274.81
0.0104,3.8,9800.0,1685.0,0.298,897.0,1477.0,118.06
0.0104,3.8,9800.0,1688.0,0.318,553.0,1128.0,197.9
0.0104,3.8,9800.0,1688.0,0.329,530.0,1104.0,203.07
0.0104,3.8,9800.0,2002.0,0.312,128.0,755.0,286.88
0.0104,3.8,9800.0,2015.0,0.328,112.0,767.0,289.86
0.0104,3.8,9800.0,2240.0,0.223,682.0,1500.0,168.46
0.0104,3.8,9800.0,2240.0,0.285,354.0,1104.0,241.5
0.0104,3.8,9800.0,2420.0,0.299,57.0,755.0,299.79
0.0104,3.8,9800.0,2747.0,0.25,261.0,1081.0,260.84
0.0104,3.8,9800.0,2806.0,0.159,558.0,1477.0,196.78
0.0104,3.8,9800.0,3303.0,0.121,489.0,1477.0,212.2
0.0104,3.8,9800.0,3336.0,0.122,480.0,1477.0,214.19
0.0104,3.8,9800.0,3369.0,0.245,154.0,1104.0,281.97
0.0051,2.6,11760.0,1999.0,0.305,863.0,1174.0,145.2
0.0051,2.6,11760.0,2489.0,0.271,647.0,1151.0,195.07
0.0051,2.6,11760.0,3998.0,0.185,376.0,1174.0,254.14
0.0051,2.6,11760.0,2992.0,0.178,1025.0,1756.0,106.86
0.0051,2.6,11760.0,3414.0,0.136,906.0,1732.0,135.08
0.0051,2.6,11760.0,3441.0,0.157,884.0,1744.0,140.26
0.0051,2.6,11760.0,3917.0,0.12,798.0,1744.0,160.39
0.0077,2.6,11760.0,1021.0,0.5,361.0,732.0,257.24
0.0077,2.6,11760.0,1021.0,0.517,341.0,732.0,261.35
0.0077,2.6,11760.0,1253.0,0.42,270.0,721.0,275.6
0.0077,2.6,11760.0,1253.0,0.445,244.0,721.0,280.67
0.0077,2.6,11760.0,1498.0,0.324,634.0,1128.0,198.01
0.0077,2.6,11760.0,1498.0,0.38,202.0,744.0,288.69
0.0077,2.6,11760.0,1736.0,0.235,897.0,1511.0,137.2
0.0077,2.6,11760.0,1760.0,0.353,142.0,744.0,299.7
0.0077,2.6,11760.0,1963.0,0.238,472.0,1104.0,233.8
0.0077,2.6,11760.0,1999.0,0.338,90.0,744.0,308.76
0.0077,2.6,11760.0,2017.0,0.175,1062.0,1895.0,98.04
0.0077,2.6,11760.0,2017.0,0.19,789.0,1511.0,162.48
0.0077,2.6,11760.0,2261.0,0.305,72.0,732.0,311.77
0.0077,2.6,11760.0,2285.0,0.142,719.0,1511.0,178.65
0.0077,2.6,11760.0,2422.0,0.162,638.0,1488.0,197.1
0.0077,2.6,11760.0,2494.0,0.117,914.0,1930.0,133.19
0.0077,2.6,11760.0,2506.0,0.184,381.0,1116.0,253.1
0.0077,2.6,11760.0,2721.0,0.179,341.0,1116.0,261.35
0.0077,2.6,11760.0,2750.0,0.183,326.0,1116.0,264.41
0.0077,2.6,11760.0,2756.0,0.108,807.0,1907.0,158.29
0.0077,2.6,11760.0,2756.0,0.139,579.0,1488.0,210.34
0.0077,2.6,11760.0,2971.0,0.1,745.0,1907.0,172.66
0.0077,2.6,11760.0,2971.0,0.124,542.0,1488.0,218.54
0.0077,2.6,11760.0,2971.0,0.183,291.0,1116.0,271.44
0.0077,2.6,11760.0,3252.0,0.095,692.0,1930.0,184.83
0.0077,2.6,11760.0,3252.0,0.174,260.0,1116.0,277.56
0.0077,2.6,11760.0,3281.0,0.112,486.0,1500.0,230.78
0.0077,2.6,11760.0,3442.0,0.11,458.0,1500.0,236.81
0.0077,2.6,11760.0,3777.0,0.092,584.0,1930.0,209.22
0.0077,2.6,11760.0,5727.0,0.197,113.0,1535.0,304.81
0.0077,2.6,11760.0,5984.0,0.216,67.0,1500.0,312.6
0.0104,3.8,11760.0,609.0,0.786,767.0,709.0,167.58
0.0104,3.8,11760.0,805.0,0.567,625.0,709.0,200.04
0.0104,3.8,11760.0,1014.0,0.464,477.0,721.0,232.72
0.0104,3.8,11760.0,1214.0,0.331,897.0,1069.0,137.2
0.0104,3.8,11760.0,1397.0,0.215,1201.0,1383.0,64.73
0.0104,3.8,11760.0,1501.0,0.26,745.0,1081.0,172.66
0.0104,3.8,11760.0,1515.0,0.326,301.0,721.0,269.44
0.0104,3.8,11760.0,1515.0,0.334,281.0,709.0,273.43
0.0104,3.8,11760.0,1940.0,0.304,169.0,709.0,294.81
0.0104,3.8,11760.0,1995.0,0.159,863.0,1418.0,145.2
0.0104,3.8,11760.0,1995.0,0.19,556.0,1069.0,215.44
0.0104,3.8,11760.0,1995.0,0.302,136.0,686.0,300.77
0.0104,3.8,11760.0,2384.0,0.314,61.0,709.0,313.59
0.0104,3.8,11760.0,2453.0,0.124,692.0,1395.0,184.83
0.00384,0.799,14710.0,3958.0,-0.082,701.0,2950.0,208.99
0.00384,0.799,14710.0,4006.0,0.106,357.0,2280.0,281.71
0.00384,0.799,14710.0,4006.0,0.111,309.0,2080.0,290.94
0.00384,0.799,14710.0,4006.0,0.134,254.0,1939.0,301.14
0.00384,0.799,14710.0,4006.0,0.164,203.0,1839.0,310.17
0.00384,0.799,14710.0,4006.0,0.187,137.0,1639.0,321.16
0.00384,0.799,14710.0,4006.0,0.213,80.0,1480.0,329.88
0.00384,0.799,14710.0,4990.0,0.123,254.0,2339.0,301.14
0.00384,0.799,14710.0,4942.0,0.149,203.0,2189.0,310.17
0.00384,0.799,14710.0,4942.0,0.184,137.0,2000.0,321.16
0.00384,0.799,14710.0,4942.0,0.206,86.0,1820.0,329.0
0.00384,1.549,14710.0,3982.0,0.185,537.0,1800.0,244.85
0.00384,1.549,14710.0,3982.0,0.197,479.0,1700.0,257.06
0.00384,1.549,14710.0,3982.0,0.231,403.0,1589.0,272.6
0.00384,1.549,14710.0,3958.0,0.255,352.0,1520.0,282.68
0.00384,1.549,14710.0,4006.0,0.261,287.0,1400.0,295.07
0.00384,1.549,14710.0,4006.0,0.258,220.0,1230.0,307.21
0.00384,1.549,14710.0,4006.0,0.272,167.0,1130.0,316.27
0.00384,1.549,14710.0,3982.0,0.294,106.0,1019.0,326.0
0.00384,1.549,14710.0,3982.0,0.316,47.0,919.0,334.54
0.0051,2.6,14710.0,2027.0,0.289,378.0,662.0,277.58
0.0051,2.6,14710.0,2258.0,0.302,287.0,662.0,295.07
0.0051,2.6,14710.0,2503.0,0.277,678.0,1163.0,214.12
0.0051,2.6,14710.0,2965.0,0.296,185.0,709.0,313.25
0.0051,2.6,14710.0,2992.0,0.227,575.0,1163.0,236.71
0.0051,2.6,14710.0,3495.0,0.216,464.0,1163.0,260.17
0.0051,2.6,14710.0,3522.0,0.316,73.0,686.0,330.89
0.00607,0.792,14710.0,1604.0,0.026,687.0,2200.0,212.11
0.00607,0.792,14710.0,1604.0,0.096,508.0,1860.0,251.0
0.00607,0.792,14710.0,1604.0,0.155,362.0,1610.0,280.73
0.00607,0.792,14710.0,1604.0,0.178,254.0,1370.0,301.14
0.00607,0.792,14710.0,1604.0,0.213,137.0,1119.0,321.16
0.00607,0.792,14710.0,2208.0,-0.015,566.0,2450.0,238.65
0.00607,0.792,14710.0,2208.0,0.095,362.0,1960.0,280.73
0.00607,0.792,14710.0,2199.0,0.166,143.0,1360.0,320.2
0.00607,0.792,14710.0,2199.0,0.21,73.0,1250.0,330.89
0.00607,0.792,14710.0,2707.0,-0.057,678.0,3200.0,214.12
0.00607,0.792,14710.0,2707.0,-0.002,542.0,2800.0,243.79
0.00607,0.792,14710.0,2717.0,0.038,444.0,2520.0,264.29
0.00607,0.792,14710.0,2698.0,0.118,197.0,1689.0,311.21
0.00607,0.792,14710.0,2717.0,0.181,73.0,1380.0,330.89
0.00607,0.792,14710.0,3207.0,-0.07,603.0,3261.0,230.64
0.00607,0.792,14710.0,3187.0,0.013,424.0,2660.0,268.36
0.00607,0.792,14710.0,3187.0,0.081,214.0,1870.0,308.26
0.00607,0.792,14710.0,3187.0,0.156,67.0,1420.0,331.75
0.00607,0.792,14710.0,4013.0,-0.04,464.0,3261.0,260.17
0.00607,0.792,14710.0,4013.0,0.035,309.0,2700.0,290.94
0.00607,0.792,14710.0,4013.0,0.102,137.0,1930.0,321.16
