,D,L,P,G,Xchf,DHin,CHF,Tin,L/D
34,0.004,0.991,100000.0,421.3,0.79,329000.0,883000.0,294.22999999999996,247.75
35,0.0048,0.478,100000.0,69.3,0.99,319000.0,442000.0,296.62,99.58333333333334
36,0.0048,0.478,100000.0,135.9,0.83,319000.0,757000.0,296.62,99.58333333333334
37,0.0048,0.478,100000.0,203.9,0.74,319000.0,1041000.0,296.62,99.58333333333334
38,0.0048,0.478,100000.0,285.4,0.69,319000.0,1325000.0,296.62,99.58333333333334
39,0.0048,0.478,100000.0,407.7,0.58,319000.0,1672000.0,296.62,99.58333333333334
40,0.0048,0.478,100000.0,543.6,0.55,319000.0,2145000.0,296.62,99.58333333333334
41,0.0048,0.478,100000.0,665.9,0.54,319000.0,2586000.0,296.62,99.58333333333334
42,0.0048,0.478,100000.0,706.7,0.53,319000.0,2649000.0,296.62,99.58333333333334
43,0.0048,0.478,100000.0,937.8,0.48,319000.0,3280000.0,296.62,99.58333333333334
44,0.0048,0.478,100000.0,1386.3,0.43,319000.0,4510000.0,296.62,99.58333333333334
45,0.0048,0.716,100000.0,135.9,0.89,326000.0,536000.0,294.94,149.16666666666669
46,0.0048,0.716,100000.0,203.9,0.77,317000.0,694000.0,297.09,149.16666666666669
47,0.0048,0.716,100000.0,271.8,0.71,317000.0,883000.0,297.09,149.16666666666669
48,0.0048,0.716,100000.0,407.7,0.63,317000.0,1167000.0,297.09,149.16666666666669
49,0.0048,0.716,100000.0,557.2,0.6,317000.0,1545000.0,297.09,149.16666666666669
50,0.0048,0.716,100000.0,665.9,0.59,317000.0,1829000.0,297.09,149.16666666666669
51,0.0048,0.716,100000.0,951.4,0.55,317000.0,2492000.0,297.09,149.16666666666669
52,0.0048,0.716,100000.0,937.8,0.55,317000.0,2429000.0,297.09,149.16666666666669
53,0.0048,0.716,100000.0,1413.4,0.53,317000.0,3532000.0,297.09,149.16666666666669
54,0.0048,0.955,100000.0,203.9,0.93,317000.0,631000.0,297.09,198.95833333333334
55,0.0048,0.955,100000.0,271.8,0.75,317000.0,694000.0,297.09,198.95833333333334
56,0.0048,0.955,100000.0,407.7,0.68,317000.0,946000.0,297.09,198.95833333333334
57,0.0048,0.955,100000.0,543.6,0.63,317000.0,1199000.0,297.09,198.95833333333334
58,0.0048,0.955,100000.0,679.5,0.64,317000.0,1482000.0,297.09,198.95833333333334
59,0.0048,0.955,100000.0,951.4,0.55,317000.0,1861000.0,297.09,198.95833333333334
60,0.0048,0.955,100000.0,1100.9,0.49,317000.0,1987000.0,297.09,198.95833333333334
61,0.00384,0.799,7840000.0,3862.0,0.268,174000.0,2620000.0,533.37,208.07291666666669
62,0.00384,0.799,7840000.0,3934.0,0.165,402000.0,3061000.0,484.89,208.07291666666669
63,0.00384,0.799,7840000.0,3934.0,0.214,271000.0,2791000.0,513.27,208.07291666666669
64,0.00384,0.799,7840000.0,3982.0,0.288,68000.0,2339000.0,554.19,208.07291666666669
65,0.00384,0.799,7840000.0,4054.0,0.172,319000.0,2840000.0,503.02,208.07291666666669
66,0.00384,0.799,7840000.0,4990.0,0.156,290000.0,3130000.0,509.23,208.07291666666669
67,0.00384,0.799,7840000.0,4990.0,0.181,243000.0,3061000.0,519.16,208.07291666666669
68,0.00384,0.799,7840000.0,4990.0,0.227,155000.0,2930000.0,537.2,208.07291666666669
69,0.00384,0.799,7840000.0,5013.0,0.085,564000.0,4140000.0,448.34999999999997,208.07291666666669
70,0.00384,0.799,7840000.0,5013.0,0.089,533000.0,4000000.0,455.43999999999994,208.07291666666669
71,0.00384,0.799,7840000.0,5013.0,0.105,479000.0,3830000.0,467.68999999999994,208.07291666666669
72,0.00384,0.799,7840000.0,5013.0,0.128,388000.0,3461000.0,487.98,208.07291666666669
73,0.00384,0.799,7840000.0,5013.0,0.129,347000.0,3261000.0,496.95,208.07291666666669
74,0.00384,0.799,7840000.0,5013.0,0.198,199000.0,2970000.0,528.28,208.07291666666669
75,0.00384,0.799,7840000.0,5013.0,0.241,104000.0,2740000.0,547.28,208.07291666666669
76,0.00384,0.799,7840000.0,5013.0,0.265,41000.0,2610000.0,559.26,208.07291666666669
77,0.00384,0.799,7840000.0,7460.0,-0.006,634000.0,5652000.0,432.18999999999994,208.07291666666669
78,0.00384,0.799,7840000.0,7460.0,0.028,586000.0,5620000.0,443.28999999999996,208.07291666666669
79,0.00384,0.799,7840000.0,7460.0,0.034,542000.0,5320000.0,453.39,208.07291666666669
80,0.00384,0.799,7840000.0,7460.0,0.041,497000.0,5011000.0,463.63,208.07291666666669
81,0.00384,0.799,7840000.0,7460.0,0.043,457000.0,4711000.0,472.64,208.07291666666669
82,0.00384,0.799,7840000.0,7460.0,0.05,416000.0,4420000.0,481.78999999999996,208.07291666666669
83,0.00384,0.799,7840000.0,7460.0,0.055,384000.0,4200000.0,488.86,208.07291666666669
84,0.00384,0.799,7840000.0,7460.0,0.067,328000.0,3850000.0,501.06999999999994,208.07291666666669
85,0.00384,0.799,7840000.0,7460.0,0.077,286000.0,3620000.0,510.08,208.07291666666669
86,0.00384,0.799,7840000.0,7460.0,0.099,243000.0,3520000.0,519.16,208.07291666666669
87,0.00384,0.799,7840000.0,7460.0,0.13,194000.0,3480000.0,529.3,208.07291666666669
88,0.00384,0.799,7840000.0,7460.0,0.168,150000.0,3580000.0,538.2,208.07291666666669
89,0.00384,0.799,7840000.0,7460.0,0.194,99000.0,3450000.0,548.25,208.07291666666669
90,0.00384,0.799,7840000.0,7460.0,0.217,41000.0,3270000.0,559.26,208.07291666666669
91,0.00384,0.799,7840000.0,7460.0,0.129,194000.0,3500000.0,529.3,208.07291666666669
92,0.00384,0.799,7840000.0,7460.0,0.167,145000.0,3520000.0,539.2,208.07291666666669
93,0.00384,0.799,7840000.0,7460.0,0.189,99000.0,3390000.0,548.25,208.07291666666669
94,0.00384,0.799,7840000.0,7460.0,0.21,47000.0,3220000.0,558.15,208.07291666666669
95,0.00384,1.549,7840000.0,3958.0,0.317,233000.0,1700000.0,521.25,403.38541666666663
96,0.00384,1.549,7840000.0,3958.0,0.32,174000.0,1580000.0,533.37,403.38541666666663
97,0.00384,1.549,7840000.0,3958.0,0.336,99000.0,1439000.0,548.25,403.38541666666663
98,0.00384,1.549,7840000.0,3982.0,0.339,31000.0,1339000.0,561.1099999999999,403.38541666666663
99,0.00607,0.792,7840000.0,1604.0,0.312,384000.0,2620000.0,488.86,130.47775947281716
100,0.00607,0.792,7840000.0,1604.0,0.357,300000.0,2520000.0,507.09999999999997,130.47775947281716
101,0.00607,0.792,7840000.0,1604.0,0.385,199000.0,2330000.0,528.28,130.47775947281716
102,0.00607,0.792,7840000.0,2199.0,0.181,488000.0,3161000.0,465.65999999999997,130.47775947281716
103,0.00607,0.792,7840000.0,2199.0,0.21,393000.0,2940000.0,486.88,130.47775947281716
104,0.00607,0.792,7840000.0,2199.0,0.318,47000.0,2210000.0,558.15,130.47775947281716
105,0.00607,0.792,7840000.0,2208.0,0.154,568000.0,3330000.0,447.42999999999995,130.47775947281716
106,0.00607,0.792,7840000.0,2208.0,0.255,262000.0,2680000.0,515.17,130.47775947281716
107,0.00607,0.792,7840000.0,2208.0,0.291,165000.0,2480000.0,535.19,130.47775947281716
108,0.00607,0.792,7840000.0,2698.0,0.079,630000.0,3830000.0,433.12,130.47775947281716
109,0.00607,0.792,7840000.0,2698.0,0.125,479000.0,3420000.0,467.68999999999994,130.47775947281716
110,0.00607,0.792,7840000.0,2688.0,0.159,351000.0,3000000.0,496.08,130.47775947281716
111,0.00607,0.792,7840000.0,2688.0,0.196,257000.0,2810000.0,516.22,130.47775947281716
112,0.00607,0.792,7840000.0,2698.0,0.232,145000.0,2500000.0,539.2,130.47775947281716
113,0.00607,0.792,7840000.0,2698.0,0.28,31000.0,2260000.0,561.1099999999999,130.47775947281716
114,0.00607,0.792,7840000.0,3207.0,0.065,529000.0,3820000.0,456.36,130.47775947281716
115,0.00607,0.792,7840000.0,3207.0,0.096,425000.0,3461000.0,479.78999999999996,130.47775947281716
116,0.00607,0.792,7840000.0,3207.0,0.124,323000.0,3066000.0,502.15,130.47775947281716
117,0.00607,0.792,7840000.0,3207.0,0.157,228000.0,2800000.0,522.29,130.47775947281716
118,0.00607,0.792,7840000.0,3216.0,0.208,99000.0,2480000.0,548.25,130.47775947281716
119,0.00607,0.792,7840000.0,4003.0,0.029,461000.0,3880000.0,471.74,130.47775947281716
120,0.00607,0.792,7840000.0,3994.0,0.075,309000.0,3211000.0,505.16999999999996,130.47775947281716
121,0.00607,0.792,7840000.0,4013.0,0.144,134000.0,2620000.0,541.39,130.47775947281716
122,0.00607,0.792,7840000.0,4013.0,0.189,36000.0,2380000.0,560.19,130.47775947281716
123,0.00607,0.792,7840000.0,4982.0,-0.024,551000.0,4890000.0,451.33,130.47775947281716
124,0.00607,0.792,7840000.0,4982.0,0.004,457000.0,4440000.0,472.64,130.47775947281716
125,0.00607,0.792,7840000.0,5002.0,0.044,319000.0,3700000.0,503.02,130.47775947281716
126,0.00607,0.792,7840000.0,4963.0,0.074,214000.0,3050000.0,525.1899999999999,130.47775947281716
127,0.00607,0.792,7840000.0,5011.0,0.109,109000.0,2580000.0,546.3,130.47775947281716
128,0.00607,0.792,7840000.0,5011.0,0.133,41000.0,2260000.0,559.26,130.47775947281716
129,0.0078,0.789,7840000.0,995.0,0.288,780000.0,2960000.0,397.96999999999997,101.15384615384616
130,0.0078,0.789,7840000.0,995.0,0.343,647000.0,2820000.0,429.16999999999996,101.15384615384616
131,0.0078,0.789,7840000.0,995.0,0.387,515000.0,2660000.0,459.53999999999996,101.15384615384616
132,0.0078,0.789,7840000.0,983.0,0.429,439000.0,2580000.0,476.66999999999996,101.15384615384616
133,0.0078,0.789,7840000.0,995.0,0.463,319000.0,2450000.0,503.02,101.15384615384616
134,0.0078,0.776,7840000.0,1599.0,0.144,652000.0,3461000.0,428.01,99.48717948717949
135,0.0078,0.776,7840000.0,1605.0,0.206,502000.0,3250000.0,462.49,99.48717948717949
136,0.00807,0.778,7840000.0,1613.0,0.249,370000.0,3000000.0,491.92999999999995,96.40644361833952
137,0.00807,0.778,7840000.0,1608.0,0.273,271000.0,2790000.0,513.27,96.40644361833952
138,0.00807,0.778,7840000.0,1581.0,0.331,119000.0,2460000.0,544.3499999999999,96.40644361833952
139,0.00807,0.778,7840000.0,2205.0,0.018,784000.0,4600000.0,397.03,96.40644361833952
140,0.00807,0.778,7840000.0,2211.0,0.044,686000.0,4270000.0,420.08,96.40644361833952
141,0.00807,0.778,7840000.0,2216.0,0.087,493000.0,3540000.0,464.53,96.40644361833952
142,0.00807,0.778,7840000.0,2200.0,0.141,347000.0,3130000.0,496.95,96.40644361833952
143,0.00807,0.778,7840000.0,2705.0,0.007,634000.0,4520000.0,432.18999999999994,96.40644361833952
144,0.00807,0.778,7840000.0,2662.0,0.059,479000.0,3861000.0,467.68999999999994,96.40644361833952
145,0.00807,0.778,7840000.0,2678.0,0.109,300000.0,3170000.0,507.09999999999997,96.40644361833952
146,0.00807,0.778,7840000.0,3199.0,-0.028,647000.0,4990000.0,429.16999999999996,96.40644361833952
147,0.00807,0.778,7840000.0,3210.0,-0.004,502000.0,4140000.0,462.49,96.40644361833952
148,0.00807,0.778,7840000.0,3199.0,0.049,375000.0,3720000.0,490.84,96.40644361833952
149,0.00807,0.778,7840000.0,3205.0,0.106,209000.0,3011000.0,526.22,96.40644361833952
150,0.00802,1.57,7840000.0,1001.0,0.577,617000.0,1850000.0,436.13,195.76059850374068
151,0.00802,1.57,7840000.0,1007.0,0.601,502000.0,1750000.0,462.49,195.76059850374068
152,0.00802,1.57,7840000.0,1001.0,0.622,351000.0,1589000.0,496.08,195.76059850374068
153,0.00802,1.57,7840000.0,1001.0,0.636,165000.0,1389000.0,535.19,195.76059850374068
154,0.00802,1.57,7840000.0,1023.0,0.633,52000.0,1269000.0,557.21,195.76059850374068
155,0.00802,1.57,7840000.0,1595.0,0.334,695000.0,2389000.0,417.96999999999997,195.76059850374068
156,0.00802,1.57,7840000.0,1606.0,0.347,612000.0,2280000.0,437.28999999999996,195.76059850374068
157,0.00802,1.57,7840000.0,1606.0,0.398,439000.0,2080000.0,476.66999999999996,195.76059850374068
158,0.00802,1.57,7840000.0,1595.0,0.432,300000.0,1880000.0,507.09999999999997,195.76059850374068
159,0.00802,1.57,7840000.0,1612.0,0.434,150000.0,1600000.0,538.2,195.76059850374068
160,0.00802,1.57,7840000.0,1606.0,0.46,47000.0,1470000.0,558.15,195.76059850374068
161,0.00802,1.57,7840000.0,2206.0,0.247,524000.0,2480000.0,457.5,195.76059850374068
162,0.00802,1.57,7840000.0,2206.0,0.267,434000.0,2320000.0,477.78,195.76059850374068
163,0.00802,1.57,7840000.0,2206.0,0.306,305000.0,2100000.0,506.02,195.76059850374068
164,0.00802,1.57,7840000.0,2206.0,0.334,199000.0,1910000.0,528.28,195.76059850374068
165,0.00802,1.57,7840000.0,2195.0,0.355,109000.0,1750000.0,546.3,195.76059850374068
166,0.00802,1.57,7840000.0,2706.0,0.136,612000.0,2810000.0,437.28999999999996,195.76059850374068
167,0.00802,1.57,7840000.0,2717.0,0.178,479000.0,2560000.0,467.68999999999994,195.76059850374068
168,0.00802,1.57,7840000.0,2706.0,0.215,342000.0,2260000.0,498.03999999999996,195.76059850374068
169,0.00802,1.57,7840000.0,2706.0,0.251,243000.0,2110000.0,519.16,195.76059850374068
170,0.00802,1.57,7840000.0,2728.0,0.28,145000.0,1920000.0,539.2,195.76059850374068
171,0.00802,1.595,7840000.0,2706.0,0.132,634000.0,2820000.0,432.18999999999994,198.8778054862843
172,0.00802,1.595,7840000.0,2689.0,0.157,546000.0,2630000.0,452.46999999999997,198.8778054862843
173,0.00802,1.595,7840000.0,2706.0,0.185,452000.0,2539000.0,473.76,198.8778054862843
174,0.00802,1.595,7840000.0,2706.0,0.214,314000.0,2139000.0,504.09,198.8778054862843
175,0.00802,1.595,7840000.0,2695.0,0.276,174000.0,1960000.0,533.37,198.8778054862843
176,0.00802,1.595,7840000.0,2695.0,0.32,20000.0,1650000.0,563.13,198.8778054862843
177,0.00384,0.799,9800000.0,3982.0,0.112,489000.0,3070000.0,485.34999999999997,208.07291666666669
178,0.00384,0.799,9800000.0,4054.0,0.118,439000.0,2920000.0,496.34999999999997,208.07291666666669
179,0.00384,0.799,9800000.0,3910.0,0.141,387000.0,2710000.0,507.61,208.07291666666669
180,0.00384,0.799,9800000.0,3958.0,0.159,335000.0,2600000.0,518.67,208.07291666666669
181,0.00384,0.799,9800000.0,3982.0,0.16,296000.0,2450000.0,526.8,208.07291666666669
182,0.00384,0.799,9800000.0,3886.0,0.198,226000.0,2310000.0,541.04,208.07291666666669
183,0.00384,0.799,9800000.0,4006.0,0.208,175000.0,2189000.0,551.0799999999999,208.07291666666669
184,0.00384,0.799,9800000.0,3910.0,0.238,106000.0,2010000.0,564.12,208.07291666666669
185,0.00384,0.799,9800000.0,3982.0,0.261,51000.0,1920000.0,574.0,208.07291666666669
186,0.00384,0.799,9800000.0,5013.0,0.033,620000.0,4000000.0,455.84999999999997,208.07291666666669
187,0.00384,0.799,9800000.0,5013.0,0.055,553000.0,3770000.0,471.04999999999995,208.07291666666669
188,0.00384,0.799,9800000.0,5013.0,0.066,503000.0,3561000.0,482.24,208.07291666666669
189,0.00384,0.799,9800000.0,5013.0,0.081,457000.0,3400000.0,492.40999999999997,208.07291666666669
190,0.00384,0.799,9800000.0,5013.0,0.088,406000.0,3150000.0,503.52,208.07291666666669
191,0.00384,0.799,9800000.0,4990.0,0.107,363000.0,3050000.0,512.74,208.07291666666669
192,0.00384,0.799,9800000.0,5013.0,0.117,315000.0,2850000.0,522.86,208.07291666666669
193,0.00384,0.799,9800000.0,5013.0,0.129,271000.0,2710000.0,531.95,208.07291666666669
194,0.00384,0.799,9800000.0,4990.0,0.16,206000.0,2550000.0,545.02,208.07291666666669
195,0.00384,0.799,9800000.0,5013.0,0.196,149000.0,2489000.0,556.0699999999999,208.07291666666669
196,0.00384,0.799,9800000.0,4990.0,0.216,106000.0,2376000.0,564.12,208.07291666666669
197,0.00384,0.799,9800000.0,4990.0,0.246,51000.0,2289000.0,574.0,208.07291666666669
198,0.00384,0.799,9800000.0,7460.0,-0.003,526000.0,4681000.0,477.11,208.07291666666669
199,0.00384,0.799,9800000.0,7460.0,0.013,480000.0,4450000.0,487.34,208.07291666666669
200,0.00384,0.799,9800000.0,7532.0,0.03,387000.0,3890000.0,507.61,208.07291666666669
201,0.00384,0.799,9800000.0,7484.0,0.047,335000.0,3590000.0,518.67,208.07291666666669
202,0.00384,0.799,9800000.0,7460.0,0.052,291000.0,3250000.0,527.8399999999999,208.07291666666669
203,0.00384,0.799,9800000.0,7532.0,0.064,236000.0,2960000.0,539.04,208.07291666666669
204,0.00384,0.799,9800000.0,7556.0,0.082,185000.0,2720000.0,549.13,208.07291666666669
205,0.00384,0.799,9800000.0,7460.0,0.104,138000.0,2520000.0,558.15,208.07291666666669
206,0.00384,1.549,9800000.0,3982.0,0.218,530000.0,2020000.0,476.21999999999997,403.38541666666663
207,0.00384,1.549,9800000.0,3958.0,0.224,471000.0,1889000.0,489.33,403.38541666666663
208,0.00384,1.549,9800000.0,3934.0,0.234,429000.0,1810000.0,498.53,403.38541666666663
209,0.00384,1.549,9800000.0,4006.0,0.243,373000.0,1730000.0,510.61,403.38541666666663
210,0.00384,1.549,9800000.0,3982.0,0.259,315000.0,1630000.0,522.86,403.38541666666663
211,0.00384,1.549,9800000.0,3982.0,0.269,261000.0,1530000.0,533.99,403.38541666666663
212,0.00384,1.549,9800000.0,3958.0,0.289,206000.0,1450000.0,545.02,403.38541666666663
213,0.00384,1.549,9800000.0,3958.0,0.306,154000.0,1380000.0,555.12,403.38541666666663
214,0.00384,1.549,9800000.0,4006.0,0.292,165000.0,1389000.0,553.01,403.38541666666663
215,0.00384,1.549,9800000.0,3934.0,0.339,79000.0,1300000.0,569.03,403.38541666666663
216,0.0051,2.6,9800000.0,1986.0,0.382,687000.0,1139000.0,440.45,509.80392156862746
217,0.0051,2.6,9800000.0,1986.0,0.391,673000.0,1139000.0,443.67999999999995,509.80392156862746
218,0.0051,2.6,9800000.0,2503.0,0.392,443000.0,1174000.0,495.48,509.80392156862746
219,0.0051,2.6,9800000.0,2992.0,0.337,359000.0,1163000.0,513.5899999999999,509.80392156862746
220,0.0051,2.6,9800000.0,3441.0,0.301,281000.0,1163000.0,529.9,509.80392156862746
221,0.0051,2.6,9800000.0,3998.0,0.289,206000.0,1174000.0,545.02,509.80392156862746
222,0.0051,2.6,9800000.0,4746.0,0.317,84000.0,1186000.0,568.13,509.80392156862746
223,0.0051,2.6,9800000.0,5304.0,0.131,521000.0,1779000.0,478.23,509.80392156862746
224,0.0051,2.6,9800000.0,5304.0,0.124,535000.0,1791000.0,475.09999999999997,509.80392156862746
225,0.00607,0.792,9800000.0,1604.0,0.237,503000.0,2489000.0,482.24,130.47775947281716
226,0.00607,0.792,9800000.0,1613.0,0.27,387000.0,2310000.0,507.61,130.47775947281716
227,0.00607,0.792,9800000.0,1584.0,0.304,291000.0,2110000.0,527.8399999999999,130.47775947281716
228,0.00607,0.792,9800000.0,1594.0,0.344,165000.0,1900000.0,553.01,130.47775947281716
229,0.00607,0.792,9800000.0,1594.0,0.385,51000.0,1710000.0,574.0,130.47775947281716
230,0.00607,0.792,9800000.0,2208.0,0.095,629000.0,3170000.0,453.78999999999996,130.47775947281716
231,0.00607,0.792,9800000.0,2199.0,0.12,526000.0,2870000.0,477.11,130.47775947281716
232,0.00607,0.792,9800000.0,2208.0,0.171,373000.0,2539000.0,510.61,130.47775947281716
233,0.00607,0.792,9800000.0,2208.0,0.22,216000.0,2170000.0,543.03,130.47775947281716
234,0.00607,0.792,9800000.0,2199.0,0.285,57000.0,1820000.0,572.94,130.47775947281716
235,0.00607,0.792,9800000.0,2707.0,0.011,791000.0,4130000.0,416.21999999999997,130.47775947281716
236,0.00607,0.792,9800000.0,2707.0,0.044,682000.0,3811000.0,441.61,130.47775947281716
237,0.00607,0.792,9800000.0,2698.0,0.068,549000.0,3280000.0,471.95,130.47775947281716
238,0.00607,0.792,9800000.0,2707.0,0.103,411000.0,2820000.0,502.43999999999994,130.47775947281716
239,0.00607,0.792,9800000.0,2707.0,0.143,266000.0,2360000.0,532.97,130.47775947281716
240,0.00607,0.792,9800000.0,2659.0,0.213,112000.0,2010000.0,563.01,130.47775947281716
241,0.00607,0.792,9800000.0,2707.0,0.226,45000.0,1800000.0,575.04,130.47775947281716
242,0.00607,0.792,9800000.0,3197.0,0.007,665000.0,4090000.0,445.53,130.47775947281716
243,0.00607,0.792,9800000.0,3207.0,0.035,544000.0,3590000.0,473.08,130.47775947281716
244,0.00607,0.792,9800000.0,3197.0,0.067,411000.0,3040000.0,502.43999999999994,130.47775947281716
245,0.00607,0.792,9800000.0,3207.0,0.096,315000.0,2710000.0,522.86,130.47775947281716
246,0.00607,0.792,9800000.0,3207.0,0.13,216000.0,2380000.0,543.03,130.47775947281716
247,0.00607,0.792,9800000.0,3197.0,0.193,57000.0,1920000.0,572.94,130.47775947281716
248,0.00607,0.792,9800000.0,4003.0,0.011,480000.0,3761000.0,487.34,130.47775947281716
249,0.00607,0.792,9800000.0,4023.0,0.056,325000.0,3030000.0,520.77,130.47775947281716
250,0.00607,0.792,9800000.0,4023.0,0.099,159000.0,2239000.0,554.16,130.47775947281716
251,0.00607,0.792,9800000.0,4003.0,0.139,68000.0,1930000.0,571.0,130.47775947281716
252,0.00607,0.792,9800000.0,5002.0,0.02,373000.0,3811000.0,510.61,130.47775947281716
253,0.00607,0.792,9800000.0,5002.0,0.041,266000.0,3090000.0,532.97,130.47775947281716
254,0.00607,0.792,9800000.0,5002.0,0.066,165000.0,2460000.0,553.01,130.47775947281716
255,0.00607,0.792,9800000.0,5011.0,0.111,57000.0,1970000.0,572.94,130.47775947281716
256,0.0074,3.8,9800000.0,1260.0,0.603,330000.0,697000.0,519.72,513.5135135135134
257,0.0074,3.8,9800000.0,1486.0,0.507,291000.0,697000.0,527.8399999999999,513.5135135135134
258,0.0074,3.8,9800000.0,2003.0,0.391,211000.0,709000.0,544.03,513.5135135135134
259,0.0074,3.8,9800000.0,2519.0,0.331,133000.0,709000.0,559.0999999999999,513.5135135135134
260,0.0074,3.8,9800000.0,3049.0,0.333,28000.0,709000.0,577.97,513.5135135135134
261,0.0074,3.8,9800000.0,1486.0,0.5,965000.0,1174000.0,375.03999999999996,513.5135135135134
262,0.0074,3.8,9800000.0,1983.0,0.388,709000.0,1174000.0,435.36,513.5135135135134
263,0.0074,3.8,9800000.0,2003.0,0.397,691000.0,1174000.0,439.53,513.5135135135134
264,0.0074,3.8,9800000.0,2519.0,0.302,540000.0,1151000.0,473.98,513.5135135135134
265,0.0074,3.8,9800000.0,2558.0,0.305,540000.0,1174000.0,473.98,513.5135135135134
266,0.0074,3.8,9800000.0,3004.0,0.269,453000.0,1174000.0,493.28999999999996,513.5135135135134
267,0.0074,3.8,9800000.0,3475.0,0.267,335000.0,1163000.0,518.67,513.5135135135134
268,0.0074,3.8,9800000.0,3940.0,0.265,256000.0,1163000.0,535.0,513.5135135135134
269,0.0074,3.8,9800000.0,4496.0,0.287,154000.0,1163000.0,555.12,513.5135135135134
270,0.0074,3.8,9800000.0,5529.0,0.266,90000.0,1174000.0,567.04,513.5135135135134
271,0.0074,3.8,9800000.0,5878.0,0.284,34000.0,1174000.0,576.94,513.5135135135134
272,0.0074,3.8,9800000.0,5943.0,0.287,28000.0,1174000.0,577.97,513.5135135135134
273,0.0104,3.8,9800000.0,668.0,0.779,611000.0,755000.0,457.90999999999997,365.38461538461536
274,0.0104,3.8,9800000.0,668.0,0.766,594000.0,732000.0,461.78,365.38461538461536
275,0.0104,3.8,9800000.0,896.0,0.564,485000.0,755000.0,486.24,365.38461538461536
276,0.0104,3.8,9800000.0,896.0,0.568,466000.0,755000.0,490.42999999999995,365.38461538461536
277,0.0104,3.8,9800000.0,1112.0,0.444,387000.0,767000.0,507.61,365.38461538461536
278,0.0104,3.8,9800000.0,1325.0,0.394,315000.0,767000.0,522.86,365.38461538461536
279,0.0104,3.8,9800000.0,1662.0,0.347,191000.0,744000.0,547.96,365.38461538461536
280,0.0104,3.8,9800000.0,1685.0,0.298,897000.0,1477000.0,391.21,365.38461538461536
281,0.0104,3.8,9800000.0,1688.0,0.318,553000.0,1128000.0,471.04999999999995,365.38461538461536
282,0.0104,3.8,9800000.0,1688.0,0.329,530000.0,1104000.0,476.21999999999997,365.38461538461536
283,0.0104,3.8,9800000.0,2002.0,0.312,128000.0,755000.0,560.03,365.38461538461536
284,0.0104,3.8,9800000.0,2015.0,0.328,112000.0,767000.0,563.01,365.38461538461536
